,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTE2,.TRXFLDHDTH1
2017-01-13,2.4215276789623598e-05,1.903814589416573e-05,1.9085332772915134e-05,8.921609235782958e-06,1.0810429396446446e-05,1.4553682289634156e-05,1.3203976671336864e-05,2.656528125081059e-05,1.297389696955809e-05,1.3092141872788676e-05,1.9369532970745188e-05,1.2428534688989677e-05,1.5874134879746218e-05,1.6520949201415365e-05,1.2362197712476422e-05,,
2017-02-10,0.00026690230958198734,0.00020316789828320604,0.0002112437706988415,0.00011756619114039819,0.00011920099931718332,0.00016231058816834813,0.000145428468164843,0.0002968297586392462,0.0001509985042709128,0.00013859228518843208,0.00021564147827470918,0.00013455297024697914,0.0001706962539062374,0.00019222791904127852,0.00015259099192694878,,
2017-03-10,0.0002638599527809529,0.00019357695936941113,0.00021484653608948347,0.00012156217067320984,0.00012789373964255347,0.0001636343845660438,0.0001455495587205163,0.00029617552892055826,0.0001527168262771419,0.00014116089409723463,0.0002111506523947206,0.00013584123946234483,0.00016607063008132413,0.0001995100088032982,0.00015781605937198595,,
2017-04-07,0.00027607216309523706,0.00019464681073851225,0.00022129588043289262,0.00014359385926034993,0.0001417496791791045,0.00021897523873828958,0.00014953115265042025,0.0003130943097742905,0.00016091804331404492,0.0001385026668144904,0.00023469181587739798,0.00013391890894064108,0.00017997845102022018,0.00020589496398418255,0.00015564599002974204,,
2017-05-05,0.00031161814646272335,0.00021516856316392734,0.00024616786129022847,0.00015496015873653896,0.00015269360663277943,0.0002398410554890985,0.00016490959935303763,0.00034148192052111065,0.00017718535682882604,0.00015143758464925352,0.00025182369329640236,0.00014904167869243237,0.00019167678288117094,0.00022584153489096673,0.0001655890867926505,,
2017-06-02,0.00029656353415135825,0.00021251627138514021,0.00023624527211143638,0.00014281356267489592,0.00014049083776903416,0.00022886446407747129,0.00016674429269859453,0.00033953770258252433,0.00016712757367509708,0.0001558279861734643,0.00022684724001486773,0.0001410070960801945,0.00018595610290739819,0.00020862384915048963,0.00017088417028014372,,
2017-06-30,0.0003333631744713314,0.00023622501413136373,0.0002721572692736558,0.00016517468561553215,0.00016619999871239654,0.0002600521049320078,0.00018897472458391745,0.0003787279897641737,0.00019329411896771217,0.0001819626386785927,0.0002582628350875174,0.0001655795772994624,0.0002120769636767406,0.0002475486513501807,0.00019847046503766272,,
2017-07-28,0.0002511441279345727,0.00018569605914332748,0.00021914191870495907,0.00012896179579334225,0.00015117992715980285,0.0002196901658992409,0.00014346868272739058,0.0002990995674664495,0.00015674593749835368,0.00014323420314387954,0.00021453135841357902,0.0001344313768414688,0.00016337257800654468,0.0001890683314193284,0.00015503836030312393,,
2017-08-25,0.00024540264042146145,0.0001846412024293613,0.00021616363395346073,0.00013595042319189236,0.000149180971729042,0.00022669191961770837,0.0001405346468943646,0.000307408228212113,0.00011654392929796766,0.0001425345550763132,0.0002138023587082782,0.00013185395595500081,0.000159971629458097,0.0001842640497781389,0.00015170020913258479,,
2017-09-22,0.0003936848757418805,0.0003014102268864786,0.00034260463515695767,0.0002219187396472456,0.0002406325975999439,0.0003589328637941519,0.00022843373767564586,0.0005033548684491195,0.00019728905445351135,0.0002275544613179692,0.0003456232011554432,0.00021467586740255956,0.00024718016912788124,0.00029197101362495574,0.00023200806682471887,,
