,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index
2013-04-19,4.0431825240100884e-05,2.1567647378665004e-06,3.7348060050949065e-05,4.8805181315236125e-05,6.597886206868526e-05,6.138825441122425e-05,6.953887655762372e-05,2.375142802862554e-05,9.95574197878812e-06,1.4824047225142675e-05,5.589977029310951e-05
2013-05-17,0.00020059234407648544,-7.404018762675137e-08,0.00015229023930762964,0.0002217001794376737,0.00029051683169930605,0.00028931907696620095,0.000320681118321034,0.00010427588387323793,5.155540134497281e-05,6.658056676936483e-05,0.00027380277888777174
2013-06-14,0.00016505174771243628,-2.595920866042501e-05,0.00016226421196725315,0.00021918157902765882,0.0003382257864586021,0.0003231393942582515,0.0003244151035279744,9.917374280216188e-05,6.773088264581408e-05,8.830607788639657e-05,0.00027552625962346845
2013-07-12,7.851459136831662e-05,-3.694850463195913e-05,9.126624884291043e-05,0.0001144864148216802,0.0001647482174157674,0.0001624036206850024,0.00018300707234452607,3.629843039489565e-05,3.229717907787318e-05,2.7196682283587753e-05,0.0001581158288384819
2013-08-09,5.8505390759744084e-05,-2.222646048742229e-05,7.420836638309174e-05,8.443078935882921e-05,0.0001208442550158648,0.0001168610068299956,0.00013944858840812227,2.5753433088489115e-05,2.3075620582542415e-05,2.0208247121933096e-05,0.00011835558659487463
2013-09-06,9.114261946532312e-05,-4.123708796241521e-05,0.00012771625661913674,0.00013441939253332156,0.00018492546021053462,0.00017918466687860408,0.00022137924743833827,2.6933399074787906e-05,3.2742175281139144e-05,3.150643429793203e-05,0.00019159457677610223
2013-10-04,7.520068688816813e-05,-5.154733099701257e-05,0.00010558210699458285,0.00011416519838764456,0.00015929469852848252,0.00015959325597646024,0.0001854586474873021,2.4219951755202237e-05,2.8159767602086893e-05,3.6196532572086404e-05,0.00016027082006409634
2013-11-01,3.266172787174464e-05,-2.2821794526159488e-05,4.3597402570342096e-05,5.047438446702151e-05,6.985674541135144e-05,6.834849942067925e-05,8.202638670537991e-05,1.1413421124561124e-05,1.1583189352547386e-05,1.641074608128905e-05,6.786514306143863e-05
2013-11-29,4.299261476815881e-05,-2.3276431519301742e-05,5.38475907535818e-05,6.615062452551218e-05,8.614170778862987e-05,8.982118904762118e-05,0.0001078425632758683,1.2809603333141524e-05,1.1165432335887699e-05,2.4056571918841687e-05,9.567283333175236e-05
2013-12-27,6.060096647863952e-05,-2.863883764534909e-05,8.020175924766917e-05,8.797560161366791e-05,0.00011411340555210996,0.00011742979630699475,0.00014602826407551092,1.8069597874361234e-05,1.6312766776550097e-05,3.4951519201660246e-05,0.00012810847945127305
2014-01-24,-2.6112357210142936e-06,9.408659546585747e-07,-3.320020759549479e-06,-3.4518509465396854e-06,-4.401421123914954e-06,-4.762477270051004e-06,-6.067932513318816e-06,-7.874062493024828e-07,-6.649799232657552e-07,-1.310359098464762e-06,-5.371508294508975e-06
2014-02-21,-1.3218242197950261e-05,5.6378677699752205e-06,-2.150070963793633e-05,-2.0649727320087835e-05,-2.6341933728673723e-05,-2.829678201060719e-05,-3.629478264017321e-05,-5.679682259093426e-06,-5.254612067369305e-06,-8.878514002369376e-06,-3.266411102313551e-05
2014-03-21,4.928707627536743e-06,-1.3075643665948423e-06,6.891387483150875e-06,6.358373244678111e-06,8.180273075932777e-06,8.746641222857364e-06,1.1062188575141022e-05,2.200195996368088e-06,1.6405128208443692e-06,2.961293881647318e-06,1.0275052917459154e-05
2014-04-18,-2.5639821640429372e-05,1.1178604553908493e-05,-4.2808408278468793e-05,-3.4699609759506e-05,-4.9529773369023796e-05,-5.466797164681821e-05,-6.540551061539577e-05,-1.2647663670888519e-05,-1.3106628202649831e-05,-2.3360869686359813e-05,-5.794526241987106e-05
2014-05-16,-7.528428857902204e-06,1.9953214784006817e-06,-1.0637710278106298e-05,-9.256952224876673e-06,-1.259616474939119e-05,-1.3868148340368679e-05,-1.6568450904580646e-05,-3.5389669683703596e-06,-3.509201989275499e-06,-4.683915067979938e-06,-1.5083519165064213e-05
2014-06-13,5.685589829672823e-05,-1.8527788345381116e-05,8.365188070727453e-05,6.814771923954982e-05,9.686503159061644e-05,0.00010546703194321526,0.00012237471026101224,2.5034082519451797e-05,2.7396850718555744e-05,3.4275095085556155e-05,0.00011350667115169107
2014-07-11,7.495314242169945e-05,-2.3979856487195455e-05,9.976053824656407e-05,8.525416835077837e-05,0.0001169431493480878,0.00012851848228659927,0.00014827291842783077,2.7308005277002353e-05,3.116208281141426e-05,4.878483840507753e-05,0.00014565715891338288
2014-08-08,0.0001379475631092416,-5.7489006730247833e-05,0.0001844322860266859,0.00016466268515674426,0.00022130289256361795,0.000245218187841143,0.0002784878973784593,5.116001303536092e-05,5.799922117867886e-05,0.00010409801989002686,0.0002770856037920181
2014-09-05,0.00017507440871254875,-0.00018983138443172002,0.0002822939504778139,0.00032091461652232066,0.000393607897642491,0.0004376748889684418,0.0005217061071227711,5.907953455662908e-05,9.925078170475289e-05,0.0002688190418269759,0.000469185675819556
2014-10-03,0.0002390208214815237,-0.00031798124459183784,0.0004520418045894496,0.0003311601657020829,0.0003567243664997739,0.00048681148583827795,0.0005354391533869803,7.55123460704799e-07,9.51104232767646e-05,0.0004209586505438799,0.0005028524373814204
2014-10-31,0.00023448251413901632,-0.00022307301993515952,0.0003547663791409493,0.00029927927508665236,0.0003072478182392404,0.0003733294224553463,0.00046113639039434474,1.0137205059148213e-06,7.39122682635926e-05,0.0002824851428434437,0.0004125188530404685
2014-11-28,0.00021770497847903644,-0.00035389647384397656,0.0003246700509661323,0.0002667520813355095,0.00030437467244335246,0.0003788214562267413,0.00048731903734244684,-2.455407985133969e-06,8.298997028401015e-05,0.00030814000224131297,0.0003778404521007393
2014-12-26,0.00028576291965340313,-0.0001875721708477312,0.00030168453485809134,0.00039532713648530836,0.00038888367291654196,0.00040072922083088754,0.0005384920313975149,7.31302690098277e-05,0.0001603105160762042,0.00029752107598050127,0.0004740939434106132
2015-01-23,0.00021605582651685885,-0.00017215128195274555,0.0003136058479388899,0.0003655973236315585,0.0003687114829240224,0.0003928270144336735,0.0004924544971092068,0.00011135738619274164,0.00017167276090029768,0.0002938538937104688,0.00046986827476277305
2015-02-20,0.00011460811804210994,-9.375934340577583e-05,0.0001547762156958757,0.00023219482289657021,0.0002179976920644529,0.00023314521863356845,0.000260601872154923,8.407367333623668e-05,0.00011967459194210858,0.00013747828109270888,0.00029557983780196634
2015-03-20,9.896687203940064e-05,-5.949575069388954e-05,0.00015864010939752108,0.00021294147433019572,0.00018713200358716137,0.00020355276399473704,0.00023822862048845418,9.985209912910909e-05,0.00012623109773853737,0.00012401792894343945,0.00026565219319010666
2015-04-17,0.0001730080738911777,-2.217353267612548e-05,0.00026628628985337927,0.0003510379359461218,0.00032107731526765147,0.00031759683898191363,0.00043710001901759864,0.00019443654099623187,0.00022280498517521417,0.0002278228749296442,0.00044799510777062405
2015-05-15,8.90624228228701e-05,-1.1583042681106304e-05,0.0004887487007697069,0.0002687389698355719,0.00040493967186062626,0.0004625252415775954,0.0005228691082909837,2.588565190801908e-05,0.00022372444802283047,4.0005169761213856e-05,0.0006458348427198156
2015-06-12,1.0417921575862444e-05,-9.549231617984785e-05,0.0005722274726965021,0.00019801296324316808,0.0004735080194352247,0.0004774307799074844,0.0006242258401129796,-6.835378408270167e-06,0.00022204174033816843,-0.0001303203211046112,0.0007894173398243496
2015-07-10,6.62428043983408e-05,-2.6373250828186058e-05,0.0004324692289445919,0.00018213012519541222,0.0003517897438244936,0.0003792332585538802,0.0005222442183682004,1.05152792533989e-05,0.00020123546941143357,-8.36355657535114e-05,0.0006853949407783729
2015-08-07,0.00012962845801231393,2.2611626429630527e-05,0.0003961970479808339,0.00017136253789040948,0.00030758419436888846,0.00033714820469611645,0.0005079764674313478,2.4471438767210797e-05,0.00016986122940831672,-1.8616595950612697e-05,0.0005526603825049048
