,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index,gamma_reg,b_weight
2011-02-11,0.07602576509572266,0.3017530959359587,0.12888285139759814,0.055994371186126046,-0.011952884234104323,0.021639618687175354,0.0008647300128805033,0.21311115807618702,0.123913013664262,0.111455060159651,-0.021686779981457183,0.001,0.5
2011-02-18,0.07602576509572266,0.3017530959359587,0.12888285139759814,0.055994371186126046,-0.011952884234104323,0.021639618687175354,0.0008647300128805033,0.21311115807618702,0.123913013664262,0.111455060159651,-0.021686779981457183,0.001,0.5
2011-02-25,0.11051704685551494,0.2972104679314288,0.1383350874345485,0.054371947922313923,-0.034570806379805794,0.025103857160532185,-0.01128380705668959,0.21496974624092063,0.12220633847033958,0.1132455292863476,-0.03010540786545081,0.001,0.5
2011-03-04,0.11051704685551494,0.2972104679314288,0.1383350874345485,0.054371947922313923,-0.034570806379805794,0.025103857160532185,-0.01128380705668959,0.21496974624092063,0.12220633847033958,0.1132455292863476,-0.03010540786545081,0.001,0.5
2011-03-11,0.11051704685551494,0.2972104679314288,0.1383350874345485,0.054371947922313923,-0.034570806379805794,0.025103857160532185,-0.01128380705668959,0.21496974624092063,0.12220633847033958,0.1132455292863476,-0.03010540786545081,0.001,0.5
2011-03-18,0.11051704685551494,0.2972104679314288,0.1383350874345485,0.054371947922313923,-0.034570806379805794,0.025103857160532185,-0.01128380705668959,0.21496974624092063,0.12220633847033958,0.1132455292863476,-0.03010540786545081,0.001,0.5
2011-03-25,0.08480348423165052,0.2906416752554425,0.15361156541689572,0.04577878080667725,-0.033038054207491396,0.02663855968572682,-0.013257451892781276,0.22869424350028872,0.13852679697153544,0.10956490218722958,-0.03196450195517375,0.001,0.5
2011-04-01,0.08480348423165052,0.2906416752554425,0.15361156541689572,0.04577878080667725,-0.033038054207491396,0.02663855968572682,-0.013257451892781276,0.22869424350028872,0.13852679697153544,0.10956490218722958,-0.03196450195517375,0.001,0.5
2011-04-08,0.08480348423165052,0.2906416752554425,0.15361156541689572,0.04577878080667725,-0.033038054207491396,0.02663855968572682,-0.013257451892781276,0.22869424350028872,0.13852679697153544,0.10956490218722958,-0.03196450195517375,0.001,0.5
2011-04-15,0.08480348423165052,0.2906416752554425,0.15361156541689572,0.04577878080667725,-0.033038054207491396,0.02663855968572682,-0.013257451892781276,0.22869424350028872,0.13852679697153544,0.10956490218722958,-0.03196450195517375,0.001,0.5
2011-04-22,0.0667292422967045,0.28210350474747325,0.15567465467437525,0.04072503833288639,-0.026881031148789897,0.04442342018370876,-0.03175913694256012,0.23615418375562247,0.14863054788258112,0.0882195094302157,-0.0040199332122174206,0.001,0.5
2011-04-29,0.0667292422967045,0.28210350474747325,0.15567465467437525,0.04072503833288639,-0.026881031148789897,0.04442342018370876,-0.03175913694256012,0.23615418375562247,0.14863054788258112,0.0882195094302157,-0.0040199332122174206,0.001,0.5
2011-05-06,0.0667292422967045,0.28210350474747325,0.15567465467437525,0.04072503833288639,-0.026881031148789897,0.04442342018370876,-0.03175913694256012,0.23615418375562247,0.14863054788258112,0.0882195094302157,-0.0040199332122174206,0.001,0.5
2011-05-13,0.0667292422967045,0.28210350474747325,0.15567465467437525,0.04072503833288639,-0.026881031148789897,0.04442342018370876,-0.03175913694256012,0.23615418375562247,0.14863054788258112,0.0882195094302157,-0.0040199332122174206,0.001,0.5
2011-05-20,0.06833016433277095,0.2685323145420753,0.15041481100248882,0.046743967673987016,-0.0191661247718512,0.021196940335244163,-0.0302933626494227,0.2372873515182788,0.1600707414749057,0.09489258149046279,0.001990615051060428,0.001,0.5
2011-05-27,0.06833016433277095,0.2685323145420753,0.15041481100248882,0.046743967673987016,-0.0191661247718512,0.021196940335244163,-0.0302933626494227,0.2372873515182788,0.1600707414749057,0.09489258149046279,0.001990615051060428,0.001,0.5
2011-06-03,0.06833016433277095,0.2685323145420753,0.15041481100248882,0.046743967673987016,-0.0191661247718512,0.021196940335244163,-0.0302933626494227,0.2372873515182788,0.1600707414749057,0.09489258149046279,0.001990615051060428,0.001,0.5
2011-06-10,0.06833016433277095,0.2685323145420753,0.15041481100248882,0.046743967673987016,-0.0191661247718512,0.021196940335244163,-0.0302933626494227,0.2372873515182788,0.1600707414749057,0.09489258149046279,0.001990615051060428,0.001,0.5
2011-06-17,0.06537353645643483,0.28097010511491666,0.17183335442929837,0.03421179646469704,-0.02289194818401269,0.012992649540868019,-0.023440700089982225,0.254098258941353,0.15537388863595483,0.09371371877690426,-0.022234660086432073,0.001,0.5
2011-06-24,0.06537353645643483,0.28097010511491666,0.17183335442929837,0.03421179646469704,-0.02289194818401269,0.012992649540868019,-0.023440700089982225,0.254098258941353,0.15537388863595483,0.09371371877690426,-0.022234660086432073,0.001,0.5
2011-07-01,0.06537353645643483,0.28097010511491666,0.17183335442929837,0.03421179646469704,-0.02289194818401269,0.012992649540868019,-0.023440700089982225,0.254098258941353,0.15537388863595483,0.09371371877690426,-0.022234660086432073,0.001,0.5
2011-07-08,0.06537353645643483,0.28097010511491666,0.17183335442929837,0.03421179646469704,-0.02289194818401269,0.012992649540868019,-0.023440700089982225,0.254098258941353,0.15537388863595483,0.09371371877690426,-0.022234660086432073,0.001,0.5
2011-07-15,0.07670897813020089,0.27359425479961547,0.1571419593038179,0.03228309407890769,-0.004503455818458839,0.002651101391738339,-0.03193756149655558,0.24338240786709853,0.1589934551890385,0.09781596298114181,-0.0061301964265447,0.001,0.5
2011-07-22,0.07670897813020089,0.27359425479961547,0.1571419593038179,0.03228309407890769,-0.004503455818458839,0.002651101391738339,-0.03193756149655558,0.24338240786709853,0.1589934551890385,0.09781596298114181,-0.0061301964265447,0.001,0.5
2011-07-29,0.07670897813020089,0.27359425479961547,0.1571419593038179,0.03228309407890769,-0.004503455818458839,0.002651101391738339,-0.03193756149655558,0.24338240786709853,0.1589934551890385,0.09781596298114181,-0.0061301964265447,0.001,0.5
2011-08-05,0.07670897813020089,0.27359425479961547,0.1571419593038179,0.03228309407890769,-0.004503455818458839,0.002651101391738339,-0.03193756149655558,0.24338240786709853,0.1589934551890385,0.09781596298114181,-0.0061301964265447,0.001,0.5
2011-08-12,0.06654888275616316,0.2712765349700842,0.15544615996874755,0.01062601476074175,-0.011215731585876396,-0.0016917697895463615,-0.021185150229269104,0.28298495051327033,0.17368736991351258,0.09216788613274388,-0.018645147410571564,0.001,0.5
2011-08-19,0.06654888275616316,0.2712765349700842,0.15544615996874755,0.01062601476074175,-0.011215731585876396,-0.0016917697895463615,-0.021185150229269104,0.28298495051327033,0.17368736991351258,0.09216788613274388,-0.018645147410571564,0.001,0.5
2011-08-26,0.06654888275616316,0.2712765349700842,0.15544615996874755,0.01062601476074175,-0.011215731585876396,-0.0016917697895463615,-0.021185150229269104,0.28298495051327033,0.17368736991351258,0.09216788613274388,-0.018645147410571564,0.001,0.5
2011-09-02,0.06654888275616316,0.2712765349700842,0.15544615996874755,0.01062601476074175,-0.011215731585876396,-0.0016917697895463615,-0.021185150229269104,0.28298495051327033,0.17368736991351258,0.09216788613274388,-0.018645147410571564,0.001,0.5
2011-09-09,0.03248038040958429,0.2906447595910494,0.1853123084693722,0.02748792435827096,-0.024137996003024395,-0.008526233207655595,-0.03530717312782268,0.2611372606353201,0.17422679351982429,0.12510953980887576,-0.028427564453794227,0.001,0.5
2011-09-16,0.03248038040958429,0.2906447595910494,0.1853123084693722,0.02748792435827096,-0.024137996003024395,-0.008526233207655595,-0.03530717312782268,0.2611372606353201,0.17422679351982429,0.12510953980887576,-0.028427564453794227,0.001,0.5
