Dates,DJUSBMT,DJUSNCT,DJUSCYT,DJUSHCT,DJUSINT,DJUSENT,DJUSTCT,DJUSTLT,DJUSUTT,DJUSFNT
31/5/2005,-0.003419069,0.03453431,0.056014463,0.014901329,0.028617252,0.021932094,0.08927853,0.012481171,0.012483265,0.02993256
30/6/2005,-0.007680312,-0.009277457,0.003984887,0.00015873,-0.016203491,0.062261432,-0.019440502,0.014718385,0.055285541,0.019706115
29/7/2005,0.066082584,0.037311473,0.046717432,0.026741787,0.043817396,0.062590522,0.061599159,0.038382992,0.022926615,0.02054263
31/8/2005,-0.033425465,-0.008633781,-0.038003483,0.000257619,-0.013575873,0.055642782,-0.004519479,-0.031064044,0.007945441,-0.020158946
30/9/2005,0.015441513,0.006099118,-0.01921224,-0.006825147,0.011559472,0.063333551,0.007522888,-0.010565213,0.038198778,0.007441223
31/10/2005,-0.006270416,-0.025404613,-0.009972909,-0.027280743,-0.012650674,-0.091901197,-0.017707848,-0.012939877,-0.06583568,0.024303667
30/11/2005,0.05867906,0.015651671,0.042127736,0.015969075,0.059772755,0.017010833,0.066459415,0.047748468,-0.003081821,0.047586746
30/12/2005,0.023876655,0.004158833,-0.006607612,0.028182319,0.005218135,0.009603062,-0.022609314,-0.031890545,0.009206101,0.001182432
31/1/2006,0.067658951,0.008651991,0.015016847,0.016384657,0.014410121,0.141389997,0.043409471,0.043553641,0.026154571,0.015297227
28/2/2006,-0.028926834,0.004077959,0.008527686,0.008587571,0.028075278,-0.086093098,-0.014762527,0.063233147,0.009545678,0.019179638
31/3/2006,0.04982685,0.00459358,0.015038447,-0.010331864,0.042431661,0.043822498,0.022289839,0.037217671,-0.038406551,0.008791119
28/4/2006,0.053482786,0.009200915,-0.002571772,-0.029834977,0.019308545,0.0510666,-0.005745137,-0.019767176,0.016185713,0.034211519
31/5/2006,-0.041343669,-0.013261134,-0.01314425,-0.021573407,-0.025495968,-0.029874395,-0.074161097,-0.029247392,0.012536162,-0.0360622
30/6/2006,-0.003107658,0.000447978,-0.000567988,0.00286214,-0.004150359,0.023058649,-0.011692828,0.043081942,0.024860427,-0.001378099
31/7/2006,-0.042943029,0.019338408,-0.041117299,0.044078009,-0.055999578,0.04501981,-0.033401176,0.042176433,0.048803153,0.020848836
31/8/2006,0.015721076,0.038547072,0.024685139,0.029359656,0.018386051,-0.038788973,0.079068028,0.015667064,0.027589368,0.013491664
29/9/2006,-0.010634817,0.008168768,0.051015096,0.012490779,0.031224277,-0.032205398,0.039245008,0.042495872,-0.019504653,0.038393137
31/10/2006,0.068695221,0.031754772,0.052611304,0.008086842,0.031582588,0.046758133,0.037534876,0.042514171,0.054431877,0.024858956
30/11/2006,0.048743501,0.014740641,0.005515763,-0.00105996,0.024528643,0.086386651,0.035804891,-0.003638254,0.027033245,0.010665749
29/12/2006,-0.004131378,0.014601648,0.023579878,0.009959727,0.010548311,-0.022252271,-0.011429878,0.045062397,0.008876568,0.032753799
31/1/2007,0.049752571,0.021920513,0.03545667,0.030515759,0.020602377,-0.013319548,0.018631386,0.042082629,-0.002137167,0.012761349
28/2/2007,0.020041777,-0.016015266,-0.021757261,-0.021154826,-0.002807069,-0.016234606,-0.028733116,-0.007221813,0.046868046,-0.027921142
30/3/2007,0.020782599,0.012274457,0.004864472,0.001846372,0.011039581,0.062745532,0.004524283,0.036074822,0.042803624,-0.009506613
30/4/2007,0.031013636,0.040402571,0.015795384,0.066843088,0.048179353,0.05276722,0.049759016,0.007415102,0.040766408,0.035662976
31/5/2007,0.068654519,0.016852754,0.029158888,0.01661056,0.055919989,0.071808313,0.040117789,0.094335597,0.010624755,0.024130093
29/6/2007,-0.003838394,-0.017306987,-0.017925767,-0.033789377,-0.00192497,0.016241781,0.007838899,-0.023849753,-0.049779565,-0.04164817
31/7/2007,-0.020550314,-0.029881733,-0.049995139,-0.036910103,-0.004602538,0.004744716,-0.00549741,-0.018906864,-0.038366431,-0.079350563
31/8/2007,-0.005245372,0.018226411,0.012664057,0.026267734,-0.000374309,0.006055402,0.02773011,-0.001492841,0.017947087,0.015506676
28/9/2007,0.08860214,0.041963822,0.003966449,0.032804088,0.039713656,0.080570902,0.038064278,0.043594971,0.035365504,0.023959246
31/10/2007,0.060105726,0.022550597,0.002969375,0.017714361,0.00910959,0.014517755,0.070376222,-0.018819392,0.065045149,-0.0151111
30/11/2007,-0.048064672,0.001640144,-0.044684748,0.011025263,-0.039972288,-0.041506187,-0.079845734,-0.076820972,-0.003235482,-0.07346476
31/12/2007,0.034661005,-0.016795008,-0.040209056,-0.025845784,-0.003039647,0.073227034,0.012357098,0.03015816,0.005259916,-0.049121042
31/1/2008,-0.045744491,-0.054621565,-0.022328636,-0.051057735,-0.054485633,-0.107314984,-0.127130743,-0.088942392,-0.070330914,-0.00274521
29/2/2008,0.042094192,-0.012307766,-0.038036329,-0.021201495,-0.024033777,0.074715272,-0.038321257,-0.099923401,-0.035341243,-0.106311292
31/3/2008,-0.025837707,0.022029936,-0.007593832,-0.041352313,0.023246969,-0.022575121,0.004268853,0.041062082,0.006202365,-0.021561613
30/4/2008,0.076299673,-0.004858147,0.043331672,0.014626179,0.029292882,0.109143039,0.072736202,0.05538298,0.059630152,0.06133893
30/5/2008,0.074035253,0.007701969,0.015455082,0.019927801,0.030151888,0.03799977,0.062294771,0.03907672,0.034533757,-0.047474123
30/6/2008,-0.012587385,-0.088260195,-0.100755458,-0.044577305,-0.107678826,0.026693231,-0.093312528,-0.116697726,-0.009530617,-0.173200123
31/7/2008,-0.077919196,0.039696665,0.00458518,0.058296413,0.013307145,-0.143382056,-0.013145171,-0.054221697,-0.070868415,0.064988819
29/8/2008,-0.043334646,0.03086236,0.057099096,0.020056764,0.016669897,-0.004394291,0.02350147,0.033505845,-0.007922535,0.000570997
30/9/2008,-0.225024581,-0.024282826,-0.083224666,-0.062557967,-0.127669209,-0.124489108,-0.130046735,-0.130584934,-0.12163996,-0.04027834
31/10/2008,-0.259176207,-0.148854303,-0.1676518,-0.125575068,-0.206786329,-0.189089684,-0.171162097,-0.106653426,-0.114300146,-0.215214639
28/11/2008,-0.146965111,-0.03703489,-0.089621388,-0.074279411,-0.070503548,-0.001335351,-0.120178242,0.061082703,0.013183495,-0.164980202
31/12/2008,0.02955458,-0.006409871,0.054644809,0.070400587,0.021232445,-0.041688952,0.02363534,0.006757111,-0.020229778,0.015513406
