,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,rf,exmkt
2001-08-17,-0.01995,0.005734,0.000329,-0.002562,-0.006342,-0.004676,-0.000129,-0.009377,-0.013803,-0.008749,0.00077,-0.0225
2001-08-24,-0.035173,0.0825,-0.115803,0.001958,0.073028,0.059429,0.046024,-0.008544,0.000641,0.051652,0.00077,0.017
2001-08-31,-0.024271,0.074549,-0.004693,-0.01281,0.027467,0.016023,0.028697,0.018904,-0.013295,-0.012623,0.00077,-0.04
2001-09-07,-0.004301,-0.082696,0.068858,-0.011886,-0.046719,-0.06276,-0.026806,-0.024308,-0.022447,-0.02139,0.00069,-0.0435
2001-09-14,0.015669,-0.09921,0.078914,0.006983,-0.107461,-0.034171,-0.050261,0.008744,-0.013363,-0.050516,0.00069,0.0032
2001-09-21,0.010001,0.030812,-0.025839,-0.029388,0.041647,0.034426,0.029938,0.01729,0.013763,0.012732,0.00069,-0.1195
2001-09-28,0.012076,-0.064776,0.059354,-0.00673,-0.047493,-0.028796,-0.024428,-0.001243,-0.016124,-0.008025,0.00069,0.0743
2001-10-05,-0.004004,0.036786,-0.001056,-0.02314,0.012435,0.010178,0.014689,0.018967,0.012027,0.010484,0.00056,0.0292
2001-10-12,0.003267,-0.045772,0.062734,0.030703,-0.05388,-0.063971,-0.022156,-0.013777,-0.022895,-0.017763,0.00056,0.0218
2001-10-19,0.035187,-0.062514,0.051709,0.029779,-0.020438,-0.061247,-0.047771,0.004769,0.001597,-0.05617,0.00056,-0.0154
2001-10-26,-0.004831,0.016049,-0.013871,-0.010625,0.01102,0.013822,0.015929,0.016469,0.00119,0.02268,0.00056,0.0292
2001-11-02,0.013444,-0.01721,0.021297,-0.00744,-0.003757,0.029819,-0.021264,0.002576,0.008878,-2e-05,0.00044,-0.0168
2001-11-09,0.038925,-0.046157,0.047355,0.005456,-0.044487,0.037826,-0.033472,0.00854,0.014339,-0.00856,0.00044,0.0279
2001-11-16,0.003118,0.038546,-0.022425,-0.01031,0.049771,-0.020167,0.029445,0.005032,0.017147,0.020643,0.00044,0.0188
2001-11-23,-0.001621,0.045508,-0.039906,-0.010777,0.033889,-0.034871,0.042375,-0.01267,0.006741,0.024459,0.00044,0.0102
2001-11-30,0.00982,-0.030129,0.017485,0.026366,-0.014838,0.01605,-0.02405,-0.015093,0.003974,-0.003204,0.00044,-0.0064
2001-12-07,0.006502,-0.065474,0.065081,0.00769,-0.054309,0.048516,-0.038883,0.028812,-0.002165,-0.035454,0.00037,0.0202
2001-12-14,-0.000431,0.016427,-0.025556,-0.007072,-0.002829,-0.012871,0.015412,0.004969,0.006267,0.020444,0.00037,-0.0287
2001-12-21,-0.026079,0.069943,-0.049761,-0.007799,0.031805,-0.038497,0.049001,0.019293,-0.006866,0.047416,0.00037,0.0196
2001-12-28,0.00766,-0.010602,0.002237,-0.003723,0.010712,0.002651,-0.012349,0.015779,0.00578,0.01171,0.00037,0.0162
2002-01-04,0.01126,0.020341,-0.020416,-0.016674,0.01052,-0.004949,0.020208,0.024857,0.015361,0.012713,0.00035,0.0105
2002-01-11,-0.009248,0.057137,-0.035614,-0.00251,0.023906,-0.001838,0.037324,-0.005012,0.014053,0.027021,0.00035,-0.0214
2002-01-18,0.004247,0.029118,-0.021756,-0.016434,0.001877,0.002499,0.02527,0.002332,0.007652,0.027078,0.00035,-0.0183
2002-01-25,0.003538,0.057174,-0.071818,0.003434,-2.8e-05,0.001488,0.046105,0.001448,0.017456,0.04728,0.00035,0.0058
2002-02-01,-0.007282,-0.026047,0.048618,0.016431,-0.019509,-0.019192,-0.021745,0.005232,-0.016198,-0.020021,0.00032,-0.0085
2002-02-08,0.014837,-0.113153,0.096254,0.026166,-0.060792,-0.018145,-0.046294,0.02274,-0.003096,-0.049455,0.00032,-0.0234
2002-02-15,-0.009353,0.065191,-0.061782,-0.0014,0.041031,-0.02349,0.016025,-0.030188,0.007405,0.044259,0.00032,0.0066
2002-02-22,0.023234,-0.005493,-0.00521,0.005945,0.016337,0.014793,0.020055,0.00115,0.022268,0.007922,0.00032,-0.0141
2002-03-01,0.008593,0.009224,-0.007533,0.003292,0.01372,0.010855,-0.007724,0.006396,0.013584,0.004987,0.00033,0.0379
2002-03-08,-0.007627,0.043906,-0.02731,0.002825,0.023996,0.038941,0.029816,0.00537,0.021883,0.046631,0.00033,0.0315
2002-03-15,0.043318,0.027628,-0.038778,-0.005479,0.058555,0.055123,0.016478,-0.006016,0.049053,0.028605,0.00033,0.0009
2002-03-22,0.000237,-0.028438,0.023859,0.022337,-0.019273,-0.029722,-0.024785,0.013982,-0.01367,-0.012707,0.00033,-0.0119
2002-03-29,0.008018,0.091137,-0.08258,-0.005781,0.04689,0.067466,0.025284,-0.001257,0.035537,0.050008,0.00033,-0.0004
2002-04-05,0.021359,0.065689,-0.038464,0.01655,0.01972,-0.01867,0.007751,-0.023119,0.035799,0.043444,0.00038,-0.0215
2002-04-12,-0.023475,0.020429,0.006373,-0.00735,0.006109,0.02133,0.000304,0.024593,-0.014413,-0.015507,0.00038,-0.0051
2002-04-19,-0.021869,-0.065177,0.095404,-0.0322,-0.028571,0.013244,-0.010677,0.024058,-0.031682,-0.058234,0.00038,0.0126
2002-04-26,-0.013563,0.026744,-0.040704,0.030598,-0.002842,-0.014534,-0.003127,-0.017844,0.001626,0.034006,0.00038,-0.0413
2002-05-03,0.003828,0.024082,-0.041027,-0.001721,0.020515,0.029037,0.012567,-0.009349,0.006566,0.017073,0.00036,-0.0013
2002-05-10,-0.002346,0.058565,-0.040552,-0.007759,0.049608,0.02245,0.03547,-0.019695,0.009786,0.023413,0.00036,-0.0179
2002-05-17,-0.003368,0.041079,-0.011281,-0.02617,0.005953,-0.003427,0.03751,-0.009431,0.002762,0.030841,0.00036,0.0465
2002-05-24,0.018542,0.049578,-0.044583,0.011151,0.046959,0.047135,0.011828,-0.030847,0.033595,0.040807,0.00036,-0.022
2002-05-31,0.0151,-0.004087,0.038893,-0.016997,-0.026551,-0.036639,0.010284,-0.008442,-0.000303,-0.012909,0.00036,-0.0147
2002-06-07,-0.045141,0.01506,0.014648,-0.026675,-0.010976,0.003048,0.015838,0.017393,-0.023899,0.012995,0.00032,-0.0351
2002-06-14,0.002584,-0.035544,0.012197,0.008194,-0.009787,0.017597,-0.016513,0.01574,0.015374,-0.012558,0.00032,-0.0211
2002-06-21,0.004834,-0.037131,0.020203,0.001918,-0.018993,-0.014792,-0.026973,0.021767,0.020683,-0.002559,0.00032,-0.0177
2002-06-28,-0.012327,0.135793,-0.104274,-0.079692,0.076431,0.018081,0.124815,-0.037604,0.010422,0.082189,0.00032,0.0001
2002-07-05,-0.030698,0.027914,-0.014724,0.00761,-0.017225,-0.017105,0.007012,-0.022492,-0.006546,0.010739,0.00039,-0.0075
2002-07-12,-0.012943,0.00632,0.020264,-0.009251,-0.012224,0.026384,0.020639,-0.003525,-0.02106,0.030077,0.00039,-0.0647
2002-07-19,0.005034,-0.050486,0.03021,0.016142,-0.00271,-0.024736,-0.0275,0.004229,-0.012082,-0.035805,0.00039,-0.0725
2002-07-26,-0.005993,-0.03169,0.01462,0.017625,-0.038004,-0.011366,-0.007593,-0.004358,-0.009019,-0.01413,0.00039,0.0011
2002-08-02,-0.000716,0.035541,-0.043407,0.01134,0.037795,0.009677,0.014224,-0.004066,0.01628,0.029386,0.00035,0.0122
2002-08-09,0.029111,-0.001969,-0.018269,0.004166,0.030681,-0.000262,-0.011551,0.004646,0.024856,-0.01564,0.00035,0.048
2002-08-16,-0.002997,-0.013844,-0.014251,-0.008435,0.012875,-0.005073,0.009628,-0.016076,-0.001047,-0.008309,0.00035,0.0233
2002-08-23,-0.014333,0.041111,-0.025525,-0.016865,0.039591,0.03456,0.018365,-0.002238,0.007605,-0.002061,0.00035,0.0122
2002-08-30,0.006523,0.024827,-0.012701,-0.003068,0.028415,0.025713,0.012189,-0.007144,0.008831,0.007244,0.00035,-0.0258
2002-09-06,-0.001763,0.022057,-0.047837,-0.037272,0.019006,-0.0116,0.017268,-0.005304,0.002656,-0.005926,0.00036,-0.0204
2002-09-13,-0.052453,-0.013723,0.055082,-0.043171,-0.033834,-0.027938,0.004693,-0.014867,-0.050795,-0.003436,0.00036,-0.0047
2002-09-20,-0.004173,0.018667,0.051224,-0.014378,-0.029132,-0.008667,0.004669,-0.009563,-0.022843,0.018465,0.00036,-0.0505
2002-09-27,0.009248,-0.08273,0.036547,0.055684,-0.059738,0.013595,-0.064611,0.023093,-0.003301,-0.048509,0.00036,-0.0192
2002-10-04,0.029875,-0.024685,0.020548,0.023278,-0.013653,-0.036308,-0.048306,0.022566,0.007298,-0.017846,0.00034,-0.0348
2002-10-11,-0.002365,-0.014445,0.011623,-0.001075,-0.022313,0.000642,0.005041,0.005292,-0.016817,-0.01783,0.00034,0.038
2002-10-18,0.006799,-0.025214,0.034638,0.012142,-0.005003,-0.008965,-0.024495,0.005791,-0.002145,-0.031713,0.00034,0.058
2002-10-25,0.038069,-0.06,0.052583,0.041472,-0.044577,-0.061664,-0.058026,0.028012,0.001791,-0.029099,0.00034,0.0151
2002-11-01,0.005201,-0.035652,0.023822,0.020354,-0.034096,-0.004365,-0.015112,0.01822,0.002456,-0.02156,0.00029,0.0063
2002-11-08,-0.015213,0.061079,-0.072886,-0.025698,0.059942,-0.021736,0.024379,-0.040873,0.012354,0.036569,0.00029,-0.0079
2002-11-15,-0.00277,0.023605,-0.034235,0.010246,0.028926,-0.021526,0.009514,-0.010035,0.012707,0.028331,0.00029,0.0177
2002-11-22,-0.013368,0.019939,0.001144,0.004387,0.015857,0.002242,0.003498,-0.009118,-0.00657,0.018338,0.00029,0.0236
2002-11-29,0.012151,-0.002595,-0.027917,-0.001977,0.012312,-0.016949,0.005559,0.002312,0.016136,0.001165,0.00029,0.0072
2002-12-06,-0.018026,-0.026707,0.017693,0.007125,-0.017464,0.024359,-0.000386,0.010805,-0.018179,-0.011857,0.00028,-0.0251
2002-12-13,-0.003313,-0.067145,0.056076,0.013094,-0.058255,0.061059,-0.03246,0.018576,-0.008608,-0.026123,0.00028,-0.0239
2002-12-20,0.00972,0.033407,-0.045877,0.006655,0.028152,-0.044657,-0.00036,-0.017807,0.011564,0.020358,0.00028,0.0059
2002-12-27,0.004964,0.002406,-0.014446,-0.016291,0.023819,-0.003842,-7e-06,0.002719,0.010346,-0.001711,0.00028,-0.02
2003-01-03,0.000337,0.022107,-0.012614,-0.023406,0.019646,0.015639,0.021873,-0.005834,0.00962,0.009231,0.00024,0.035
2003-01-10,-0.010631,0.02487,-0.014647,-0.016701,0.007987,0.01876,0.00928,-0.002275,-0.00543,-0.000206,0.00024,0.0206
2003-01-17,-0.014407,-0.000705,0.017089,-0.017122,-0.001827,-0.020843,-0.002448,0.003721,-0.007222,-0.005119,0.00024,-0.0263
2003-01-24,0.005332,-0.005107,0.020232,0.005227,-0.01056,-0.015644,-0.011695,0.001712,0.001809,-0.00487,0.00024,-0.0423
2003-01-31,0.000974,-0.005573,-0.000494,0.006434,-0.011113,-0.002106,-0.007586,0.009193,0.003777,0.001246,0.00024,-0.0066
2003-02-07,-0.003212,0.02467,-0.023317,-0.008151,0.021986,0.011443,0.017189,-0.014689,0.001243,-0.00345,0.00022,-0.0312
2003-02-14,-0.005282,-0.00586,0.014037,-0.00919,-0.019576,0.003217,-0.003919,-0.005779,-0.014202,-0.012193,0.00022,0.0035
2003-02-21,-0.009113,-0.010986,0.033267,0.002732,-0.024436,-0.018716,-0.010941,0.007531,-0.025722,-0.005318,0.00022,0.0173
2003-02-28,0.017229,-0.005387,-0.029398,-0.002396,0.030021,0.013007,0.00492,-0.007187,0.02379,-0.000204,0.00022,-0.0078
2003-03-07,-0.002293,0.015433,0.022885,-0.001687,-0.01757,-0.010625,0.007251,0.004877,-0.001004,0.006908,0.00025,-0.0142
2003-03-14,0.00387,-0.001421,-0.01619,0.012114,0.005515,0.003876,-0.003134,0.007738,0.009474,0.012711,0.00025,0.0058
2003-03-21,0.008544,-0.025576,0.035544,0.012939,-0.029934,0.015012,-0.033546,0.004928,-0.004319,-0.014331,0.00025,0.0721
2003-03-28,0.014758,-0.028958,0.007272,0.017224,-0.021947,-0.021135,-0.017449,-0.005332,0.010469,-0.003114,0.00025,-0.0329
2003-04-04,0.02489,-0.051269,0.033956,0.003614,-0.031844,-0.01966,-0.023722,0.007802,-0.000463,-0.013778,0.00024,0.0168
2003-04-11,0.01547,-0.009506,-0.006652,0.003158,-0.006675,-0.017254,5.3e-05,-0.001905,0.006219,-0.003218,0.00024,-0.0114
2003-04-18,0.002379,-0.04047,-0.004016,0.031176,-0.01498,-0.019356,-0.029168,0.020286,-0.009756,-0.019808,0.00024,0.0292
2003-04-25,0.013764,-0.011405,-0.056257,0.031511,0.008794,-0.011205,-0.011194,-0.001575,0.01092,0.004997,0.00024,0.007
2003-05-02,0.028562,-0.035341,0.04151,0.000773,-0.025566,0.029149,-0.026662,-0.004125,0.013592,-0.022131,0.00022,0.037
2003-05-09,0.009296,-0.006074,0.025173,0.002886,-0.028966,0.018857,-0.0252,0.01181,0.000423,-0.007554,0.00022,0.0053
2003-05-16,-0.015532,0.019395,-0.012861,-0.001258,0.020866,-0.013592,0.005808,-0.000283,-0.007626,0.005778,0.00022,0.0122
2003-05-23,-0.004902,-0.009528,0.004432,-0.010641,-0.006458,-0.003499,0.023334,0.000924,-0.00737,0.005367,0.00022,-0.0081
2003-05-30,0.015248,-0.002062,-0.007028,0.004867,0.006148,-0.002794,-0.000782,-0.013497,0.014722,0.002192,0.00022,0.0348
2003-06-06,0.004058,-0.007138,0.017874,-0.007761,0.002675,0.014823,-0.007575,-0.000861,0.006559,-0.004453,0.00025,0.0257
