Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
18/5/2001,0.010344889,0.0034109,-0.022389288,-0.03599693,-0.011124668,0.001732693,0.017453298,0.0024999,0.041893337,-0.006848935,-0.025116942,0.00015
25/5/2001,-0.033277668,0.010524788,-0.007904636,0.009672478,0.075980125,0.012685564,-0.007872514,0.009767991,0.003214158,0.015025829,0.034851352,0.00015
1/6/2001,-0.059039692,0.000222641,0.030537817,-0.048263044,0.027349587,0.09838791,0.007427348,0.004305611,0.022818043,-0.015495417,0.001297256,0.00015
8/6/2001,0.000976415,0.072027139,0.057745259,-0.060117303,-0.011412088,0.037424251,-0.007120603,0.074276125,0.032691422,0.036134448,-0.03869112,0.00013
15/6/2001,-0.006230053,-0.062702641,-0.018495358,0.00955546,-0.024655465,-0.003343977,-0.014230517,0.068192294,0.069321114,0.033600529,0.035434439,0.00013
22/6/2001,-0.034643597,0.001204858,-0.016357319,-0.004607809,0.034173342,0.007966443,0.034855431,-0.018200887,0.060235437,0.001748566,-0.053139595,0.00013
29/6/2001,0.015306996,0.035438041,-0.021582024,0.010903192,0.031832087,-0.014132866,-0.027277082,0.006367244,-0.03458144,0.019904862,0.017394689,0.00013
6/7/2001,-0.013551217,0.030892446,-0.013965687,-0.087914972,-0.039553058,0.117670145,0.052108539,0.019103206,0.027869315,-0.006765071,-0.009981008,0.00014
13/7/2001,-0.021512897,-0.002722891,-0.053613957,0.014289352,0.030696119,-0.021380766,-0.02556722,-0.052158924,0.031077084,0.008731337,-0.026977128,0.00014
20/7/2001,-0.01952084,-0.027685196,-0.087940942,0.006188809,0.013785154,0.037278184,0.014681831,0.001345038,0.053356253,0.019383473,-0.005212487,0.00014
27/7/2001,0.027892518,0.01564789,-0.161762979,0.053527916,0.083770079,0.022408228,-0.054674016,-0.020113809,0.132392965,-0.001566427,-0.030740154,0.00014
3/8/2001,-0.025268177,0.048803023,0.042558777,-0.004956271,0.057731913,0.001600592,0.025548634,0.000839516,-0.06062282,0.005941916,-0.012241295,0.00014
10/8/2001,0.020203135,-0.012154827,-0.093422883,0.025644008,-0.059628453,0.120363333,-0.006256465,-0.034229766,0.044897802,-0.033709883,0.005142033,0.00013
