Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
21/12/2001,-0.015250819,0.011248933,-0.025810576,0.001852094,0.024438009,-0.020590683,0.021796968,0.009506413,-0.004905991,0.018304345,-0.020441,0.000428
28/12/2001,-0.053262639,0.006483222,-0.041973716,0.004549343,0.037777196,-0.058128306,0.061845855,0.031437125,-0.041346044,0.051819593,-0.004586,0.000428
31/12/2001,-0.018226827,-0.007245419,0.013495073,0.009516067,-0.013544967,0.00445004,0.02901048,0.0164853,-0.023093646,0.029631277,0.003843,0.000428
4/1/2002,0.036716076,-0.015745103,0.056242389,0.004085375,-0.027812028,0.007142337,-0.027218729,-0.01118314,0.012345099,-0.022438548,-0.019488,0.000428
11/1/2002,0.00144164,-0.001777159,0.009247843,0.008481009,-0.017775836,0.010724478,0.001843088,0.00076667,0.000123383,0.00351537,-0.054334,0.000428
18/1/2002,0.006443028,-0.014481519,0.014029663,-0.001843885,-0.005947615,0.011587669,-0.018827107,-0.016263705,0.008517729,-0.014263821,-0.094023,0.000428
25/1/2002,0.04486946,-0.04574481,0.087937815,0.018010598,-0.074356763,0.08548209,-0.056875608,-0.038802983,0.021104851,-0.034061228,0.027056,0.000428
1/2/2002,-0.004057236,-0.004226162,-0.015368278,-0.013851534,0.005896127,0.009169533,0.002539101,0.008290857,0.009462277,-0.004733451,0.030961,0.000428
8/2/2002,0.017289391,0.000780422,0.014968116,0.001099208,-0.00777198,-0.006372328,-0.008531459,0.000470952,0.011659255,-0.004284506,0.01709,0.000428
1/3/2002,0.000337159,0.007758305,-0.010660163,-0.012234193,0.023236532,-0.037694495,0.000202137,-7.35E-05,0.01258039,-0.006776436,-0.001681,0.000377
8/3/2002,0.014153968,-0.002347515,0.020258837,0.014454179,-0.009364288,-0.011436701,-0.025363733,-0.010367229,0.005257816,-0.012670019,0.105125,0.000377
15/3/2002,0.002943094,-0.001855999,0.011150141,0.005589878,-0.009253392,-0.003220541,-0.008095289,-0.016991752,0.007939226,-0.001780083,-0.009984,0.000377
22/3/2002,0.004651608,0.00899494,-0.006155779,0.002097631,0.005659331,0.002346101,0.002646566,6.26E-05,0.005488647,-0.00220751,0.029145,0.000377
29/3/2002,0.009791758,0.004681807,0.000630456,0.003909347,-0.002098474,-0.000615958,-0.007225576,-0.003198955,0.014645441,-0.003464401,-0.037851,0.000377
5/4/2002,0.013076258,-0.007647547,0.007570022,3.90E-05,-0.009161172,-0.023623063,0.001748623,-0.002568168,0.001932005,0.001510287,0.016465,0.000377
12/4/2002,-0.004459782,-0.000883855,-0.004881323,-0.005181423,-0.000248514,0.001672473,-0.002884181,-0.001512621,0.003480719,-0.005158399,0.015339,0.000377
19/4/2002,-0.004105565,0.005211196,-0.021074051,-0.011706235,0.006881846,-0.000885357,0.002160422,0.003785773,0.001144529,0.001466905,-0.013804,0.000377
26/4/2002,0.010292781,-0.011118604,0.011911046,-0.005574117,-0.014373325,-0.011142676,-0.012746758,-0.014920361,0.007286689,-0.013163063,0.00233,0.000377
