,Trdwnt,Opndt,Clsdt
836,2008-02,2008-01-07,2008-01-11
837,2008-03,2008-01-14,2008-01-18
838,2008-04,2008-01-21,2008-01-25
839,2008-05,2008-01-28,2008-02-01
840,2008-06,2008-02-04,2008-02-05
841,2008-07,2008-02-13,2008-02-15
842,2008-08,2008-02-18,2008-02-22
843,2008-09,2008-02-25,2008-02-29
844,2008-10,2008-03-03,2008-03-07
845,2008-11,2008-03-10,2008-03-14
846,2008-12,2008-03-17,2008-03-21
847,2008-13,2008-03-24,2008-03-28
848,2008-14,2008-03-31,2008-04-03
849,2008-15,2008-04-07,2008-04-11
850,2008-16,2008-04-14,2008-04-18
851,2008-17,2008-04-21,2008-04-25
852,2008-18,2008-04-28,2008-04-30
853,2008-19,2008-05-05,2008-05-09
854,2008-20,2008-05-12,2008-05-16
855,2008-21,2008-05-19,2008-05-23
856,2008-22,2008-05-26,2008-05-30
857,2008-23,2008-06-02,2008-06-06
858,2008-24,2008-06-10,2008-06-13
859,2008-25,2008-06-16,2008-06-20
860,2008-26,2008-06-23,2008-06-27
861,2008-27,2008-06-30,2008-07-04
862,2008-28,2008-07-07,2008-07-11
863,2008-29,2008-07-14,2008-07-18
864,2008-30,2008-07-21,2008-07-25
865,2008-31,2008-07-28,2008-08-01
866,2008-32,2008-08-04,2008-08-08
867,2008-33,2008-08-11,2008-08-15
868,2008-34,2008-08-18,2008-08-22
869,2008-35,2008-08-25,2008-08-29
870,2008-36,2008-09-01,2008-09-05
871,2008-37,2008-09-08,2008-09-12
872,2008-38,2008-09-16,2008-09-19
873,2008-39,2008-09-22,2008-09-26
874,2008-41,2008-10-06,2008-10-10
875,2008-42,2008-10-13,2008-10-17
876,2008-43,2008-10-20,2008-10-24
877,2008-44,2008-10-27,2008-10-31
878,2008-45,2008-11-03,2008-11-07
879,2008-46,2008-11-10,2008-11-14
880,2008-47,2008-11-17,2008-11-21
881,2008-48,2008-11-24,2008-11-28
882,2008-49,2008-12-01,2008-12-05
883,2008-50,2008-12-08,2008-12-12
884,2008-51,2008-12-15,2008-12-19
885,2008-52,2008-12-22,2008-12-26
886,2008-53,2008-12-29,2008-12-31
887,2009-02,2009-01-05,2009-01-09
888,2009-03,2009-01-12,2009-01-16
889,2009-04,2009-01-19,2009-01-23
890,2009-06,2009-02-02,2009-02-06
891,2009-07,2009-02-09,2009-02-13
892,2009-08,2009-02-16,2009-02-20
893,2009-09,2009-02-23,2009-02-26
894,2009-10,2009-03-02,2009-03-06
895,2009-11,2009-03-09,2009-03-13
896,2009-12,2009-03-16,2009-03-20
897,2009-13,2009-03-23,2009-03-27
898,2009-14,2009-03-30,2009-04-03
899,2009-15,2009-04-07,2009-04-10
