Date,.dMIHK0EGI0G,.dMIHK0MLI0G,.dMIHK0CGI0G,.dMIHK0TPI0G,.dMIHK0ACI0G,.dMIHK0CAI0G,.dMIHK0CVI0G,.dMIHK0RTI0G,.dMIHK0FDI0G,.dMIHK0FBI0G,.dMIHK0PBI0G,.dMIHK0BKI0G,.dMIHK0DFI0G,.dMIHK0ISI0G,.dMIHK0SSI0G,.dMIHK0THI0G,.dMIHK0SEI0G,.dMIHK0TSI0G,.dMIHK0MDI0G,.dMIHK0ULI0G,.dMIHK0REI0G
2009-07-22 00:00:00+00:00,64.281,115.09,682.153,781.342,900.664,683.506,687.021,752.469,,1185.334,543.371,972.321,1446.952,834.998,,460.228,912.258,1116.061,543.117,1091.137,1013.233
2009-07-23 00:00:00+00:00,63.441,117.37,696.606,791.356,909.569,711.097,684.741,777.032,,1182.563,538.256,993.465,1512.425,818.044,,474.745,947.379,1111.425,547.948,1104.439,1047.574
2009-07-24 00:00:00+00:00,62.811,118.189,702.156,789.265,893.031,728.213,687.72,777.385,,1196.743,543.367,1015.786,1545.975,826.521,,469.176,930.269,1123.031,550.8,1096.955,1035.611
2009-07-27 00:00:00+00:00,65.122,120.698,705.752,810.708,845.963,739.568,693.283,787.548,,1184.76,554.45,1016.122,1591.357,822.282,,474.952,895.147,1132.691,559.763,1095.15,1060.85
2009-07-28 00:00:00+00:00,65.752,121.844,714.919,821.734,885.399,744.462,695.356,815.605,,1224.257,565.548,1036.295,1609.573,856.191,,487.875,891.545,1144.301,570.821,1098.553,1079.915
2009-07-29 00:00:00+00:00,62.181,117.039,697.463,806.767,844.691,717.914,684.067,787.316,,1221.932,552.757,1034.93,1561.529,826.521,,464.087,890.644,1133.214,559.46,1094.718,1047.415
2009-07-30 00:00:00+00:00,61.55,117.318,709.493,817.48,828.153,715.186,679.065,784.458,,1222.721,545.937,1053.829,1574.094,826.521,,461.94,931.169,1133.002,559.566,1107.842,1057.768
2009-07-31 00:00:00+00:00,62.601,119.211,730.822,838.601,858.684,725.406,695.947,777.063,,1224.983,566.412,1065.905,1605.378,907.054,,471.753,947.379,1141.59,559.033,1109.909,1087.778
2009-08-03 00:00:00+00:00,63.441,121.101,730.52,846.904,885.399,762.047,711.13,795.275,,1260.622,562.998,1059.951,1606.974,894.338,,476.162,953.683,1150.476,568.412,1107.613,1103.061
2009-08-04 00:00:00+00:00,62.181,120.715,717.208,857.063,932.467,760.909,713.11,801.065,,1305.478,639.81,1037.59,1592.602,873.145,,489.491,1011.318,1151.457,558.911,1099.476,1091.098
2009-08-05 00:00:00+00:00,61.76,120.486,722.261,837.526,904.481,743.318,706.488,802.486,,1268.382,615.056,1009.471,1582.643,847.714,,478.408,958.186,1160.936,556.991,1093.967,1061.864
2009-08-06 00:00:00+00:00,60.71,116.537,731.876,830.196,880.31,737.754,698.578,804.433,,1266.59,605.671,1006.022,1620.308,847.714,,475.951,950.081,1155.597,560.129,1103.332,1063.169
2009-08-07 00:00:00+00:00,59.24,119.214,717.712,790.964,844.691,719.798,691.851,771.663,,1247.035,589.457,992.363,1564.059,809.567,,466.091,937.473,1151.789,559.607,1103.341,1024.337
2009-08-10 00:00:00+00:00,59.45,121.596,729.383,818.682,852.323,740.39,698.284,777.683,,1286.543,588.601,1015.758,1606.789,843.475,,472.912,977.998,1166.909,563.171,1113.149,1046.753
2009-08-11 00:00:00+00:00,62.181,123.577,721.349,817.177,816.704,742.264,708.258,799.129,,1311.313,585.187,1025.427,1662.953,818.044,,482.64,977.998,1168.044,565.318,1119.555,1058.376
2009-08-12 00:00:00+00:00,59.66,123.381,724.466,809.628,831.969,733.352,699.978,795.022,,1288.693,571.535,1004.102,1599.977,801.09,,473.792,966.291,1157.946,562.915,1106.571,1029.422
2009-08-13 00:00:00+00:00,60.71,123.028,739.424,814.674,844.691,745.134,707.201,815.713,,1282.905,571.535,1015.199,1645.761,826.521,,485.489,956.385,1136.281,563.734,1112.278,1033.216
2009-08-14 00:00:00+00:00,60.92,119.156,728.927,813.669,847.235,735.643,702.378,877.757,,1253.047,565.564,1016.081,1641.058,826.521,,475.643,961.85,1117.834,565.228,1115.486,1031.703
2009-08-17 00:00:00+00:00,57.979,111.616,701.219,789.052,786.173,708.839,668.621,834.812,,1212.56,535.706,985.942,1564.632,771.42,,455.705,930.881,1105.248,549.347,1102.784,1003.848
2009-08-18 00:00:00+00:00,57.349,113.046,708.064,792.641,792.534,686.112,650.363,861.217,,1181.842,525.465,990.877,1575.308,771.42,,452.383,904.467,1105.144,543.379,1097.417,1010.346
2009-08-19 00:00:00+00:00,57.979,114.12,704.274,781.409,775.996,698.974,649.19,845.479,,1161.46,523.756,978.935,1557.713,822.282,,457.525,880.785,1105.198,540.331,1086.608,994.696
2009-08-20 00:00:00+00:00,57.979,114.81,723.785,792.732,775.996,708.984,664.976,865.89,,1196.542,538.26,990.563,1588.064,868.907,,463.853,893.537,1118.306,541.617,1097.135,1027.023
2009-08-21 00:00:00+00:00,57.979,113.697,721.94,788.513,753.098,697.529,670.202,841.688,,1227.601,531.432,986.754,1576.656,885.861,,460.987,927.238,1103.602,542.098,1093.896,1037.577
2009-08-24 00:00:00+00:00,61.13,115.207,732.909,801.676,777.268,711.789,683.657,845.566,,1253.598,537.404,1006.224,1606.967,919.769,,466.099,945.455,1108.231,559.167,1099.898,1049.185
2009-08-25 00:00:00+00:00,61.55,113.479,731.786,793.662,769.635,702.623,693.191,845.651,,1264.888,536.551,1011.028,1605.552,928.247,,463.26,924.505,1098.648,559.835,1098.611,1033.976
2009-08-26 00:00:00+00:00,61.76,112.856,731.317,794.487,767.091,709.447,686.913,861.96,,1277.532,538.252,1011.02,1595.947,915.531,,466.932,929.97,1097.57,550.675,1095.317,1032.874
2009-08-27 00:00:00+00:00,60.71,109.546,728.523,791.558,731.472,710.987,674.517,789.979,,1265.875,539.105,992.482,1570.083,894.338,,467.342,931.792,1091.946,544.454,1105.077,1029.755
2009-08-28 00:00:00+00:00,59.24,107.691,726.263,783.09,688.219,699.884,679.064,770.914,,1240.298,527.162,1009.795,1564.686,856.191,,453.877,916.308,1085.261,547.817,1109.023,1018.956
2009-08-31 00:00:00+00:00,57.769,105.326,693.233,758.124,720.023,697.921,660.642,752.805,,1212.728,516.928,986.025,1506.002,847.714,,448.274,904.467,1084.134,531.948,1092.558,984.936
2009-09-01 00:00:00+00:00,60.29,109.752,703.271,767.44,671.682,699.404,665.682,744.909,,1223.586,521.194,994.919,1523.193,877.384,,446.037,889.893,1088.923,537.461,1111.336,990.277
2009-09-02 00:00:00+00:00,58.819,108.626,689.609,763.404,642.423,704.866,665.53,736.183,,1190.518,516.075,989.967,1497.225,860.43,,450.473,882.606,1084.956,535.422,1112.138,969.581
2009-09-03 00:00:00+00:00,59.24,110.855,693.893,783.23,653.872,708.454,686.585,752.948,,1223.978,522.899,1004.733,1527.332,890.099,,455.556,889.893,1088.749,545.916,1115.784,984.757
2009-09-04 00:00:00+00:00,59.66,112.092,703.502,805.991,665.321,724.308,689.993,778.272,,1289.439,536.547,1022.384,1579.134,911.292,,456.615,899.002,1102.641,549.832,1132.041,1014.479
