Clsdt,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep
2000-04-14,0.04297313519368572,0.030585935863340522,0.024669635389193968,0.026768388917882406,0.040214603610781004,0.029723014251521372,0.03955100894379494,0.043858998792531245,0.030033138015631747,0.0368002231231736
2000-04-21,0.0615024301100121,0.051149630987152535,0.04762556123330125,0.03994612514248135,0.06352787428358556,0.06146869833700363,0.0621093526578127,0.05619260378174455,0.06313588019710513,0.05318833080743454
2000-04-28,0.02376421355418042,0.020206535892601248,0.03791967271749381,0.0030847095260121376,0.037627110878492936,-0.0007021569784022561,0.02385025108992111,0.020588142192564766,0.012315053482056935,0.018684099716262833
2000-05-12,-0.005771367526167101,-0.004116733586349012,-0.010524634970712652,-0.00821021529022439,-0.006450957868638437,-0.0014202596632484506,-0.013738682827386751,-0.016834483661174654,0.006120262815139678,-0.007172794336538764
2000-05-19,0.017830882492507034,0.012688927501049756,0.004526917651154562,-0.007226001402571503,0.023563470437680756,-0.005997976398212284,0.023984893225326664,0.019563373073796266,0.011917179358191194,0.009500906126154242
2000-05-26,0.01201797151587655,0.009856876932390679,0.014828604702770242,0.01777033109525521,0.006958033615293768,0.017973371078895246,0.007452974715764986,0.011300796821396354,0.015044030645836032,0.011136150895291446
2000-06-02,-0.0160251573151265,0.0024946751168231735,-0.0033090152140616376,-0.015277496662562584,0.002671485295462644,-0.03565375072778448,-0.011261929848868799,-0.005417008258108697,-0.011534156577590623,-0.015102854624295779
2000-06-09,0.005416148953518328,-0.0007696137803889036,-0.0013503270531070013,-0.007054670902951914,0.0025780383416646917,-0.012030967204397903,-0.0012482349932351694,0.002092781979610334,0.0030160491191533454,-0.00956285691822891
2000-06-16,0.01776127295538638,0.02605240454665896,0.009844397130899483,0.02035714730677597,0.026973616437449062,0.021132612789847464,0.012461318032462998,0.024043777876071273,0.02087610506852529,0.01002343650810998
2000-06-23,0.012698669193551938,-0.007978467822277202,0.0011021358722196717,-0.002063943961831491,-0.0019047133996883887,-0.00014357531314067667,0.010462106249204418,0.01120583767912876,0.002610094900182377,0.00873825459635197
2000-06-30,0.017169046491397333,0.008081164113071445,0.005206276877360328,0.008500890848621871,0.012185118613769343,0.009303675287067948,0.011588785203948527,0.010928382447920312,0.00937969315390225,0.010366487045850721
2000-07-07,0.00424719779330058,7.055857896375783e-05,0.009364406548627862,0.017320705057155716,-0.001171582942626405,0.00893466510634629,0.005033443635961514,0.007030883587708242,0.005922916003339767,0.0073997238308271505
2000-07-14,0.025335949859511528,0.02370544304276679,0.016576728973217283,0.02122426276778268,0.013508048141003431,0.020843389489215707,0.015260658076979917,0.013171869980902032,0.029987622414465887,0.020098410162454353
2000-07-21,0.028283577191151033,-0.0008737500634527986,0.01024772329423089,-0.0003990651197628393,0.01069390791174886,-0.006095917868960111,0.024226485179132642,0.029636084713064316,0.013723909567892364,0.017894948045215797
2000-07-28,-0.0034021780538922865,-0.006966084156024277,-0.0041779853703942,-0.008114799399974108,-0.00466412326269502,-0.0004453577963976764,-0.00492383906615846,-0.006083146474557772,0.0011261540261280276,-0.002877496872029449
2000-08-04,-0.039720181394940254,-0.040686328437969335,-0.017297457988595694,-0.02921615472732167,-0.04100919216986529,-0.059567027652357586,-0.042336151374118565,-0.04563418889646019,-0.03044907770993503,-0.03984803071186779
2000-08-11,-0.008953784808864376,-0.025424120189205552,-0.010901922499802097,-0.006317054657649482,-0.02990974867341256,-0.030022565561414933,-0.009256153524334667,-0.017739265949180353,-0.015367093421708557,-0.005773580185633878
2000-08-18,0.01973036466427685,0.008238092855248562,0.010587630668075042,0.005992708743878809,0.006790076083421914,0.014901154233402032,0.02073409266492839,0.01950934015447817,0.011356906767836437,0.01963650476402425
