,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU,gamma_op
2014-01-24,0.9999589101418422,3.5316355973161225e-05,5.9330437350157e-07,6.872447695817984e-07,1.303715025319919e-06,4.845381437030722e-07,5.980649133246538e-07,5.39354029348646e-07,1.320843664549562e-07,9.738133402632362e-07,4.6138322312137634e-07,4
2014-01-31,0.9999926916722502,3.0360669966853155e-06,4.202341194400544e-07,5.256240451591952e-07,7.391195087468191e-07,4.6877574093104183e-07,4.777445583299572e-07,4.6099090352178505e-07,9.068882883220263e-08,6.714388590987408e-07,4.176441889783305e-07,4
2014-02-07,0.9999927395778295,2.9984063625300456e-06,4.1233143922791403e-07,5.216498081285282e-07,7.369707292920359e-07,4.6647435775481197e-07,4.781516672141636e-07,4.6793649864145667e-07,8.881290513365029e-08,6.62345758560378e-07,4.273426440205735e-07,4
2014-02-14,0.9999927087368522,3.036664293088591e-06,4.129723029310433e-07,5.235064833865038e-07,7.370770383518809e-07,4.5281015672566464e-07,4.818244354539261e-07,4.696283433036688e-07,8.883367125000654e-08,6.65352951486118e-07,4.2259347205366867e-07,4
2014-02-21,0.9999927874294119,2.990974153162882e-06,4.103850987093148e-07,5.157587330993316e-07,7.278719320868853e-07,4.462683486901733e-07,4.822042302973554e-07,4.643430076949655e-07,8.785765727522309e-08,6.632465620568609e-07,4.236608649246649e-07,4
2014-02-28,0.999995764016897,6.959448803158414e-07,3.358014264671303e-07,4.4808666445935434e-07,5.927744023436122e-07,3.891376394691301e-07,4.5644643497784964e-07,4.300248125361684e-07,5.518805487104632e-08,5.637642035268361e-07,2.6881458398657563e-07,4
2014-03-07,0.9999957497087736,7.069725610365947e-07,3.376236471588598e-07,4.4979350691973915e-07,5.958291284681367e-07,3.836165335900596e-07,4.60634413163794e-07,4.303635674810224e-07,5.5598118636025675e-08,5.641703391176798e-07,2.656894106568636e-07,4
2014-03-14,0.9999957163531075,7.132609073852196e-07,3.382780059293341e-07,4.6148296401335557e-07,6.061639947021491e-07,3.851264707132805e-07,4.672208725297988e-07,4.276507881648573e-07,5.59451802242905e-08,5.664273500750278e-07,2.6209035877809025e-07,4
2014-03-21,0.9999957146378526,7.09866854294193e-07,3.3816445975305325e-07,4.593233621926155e-07,5.974101586192925e-07,3.8691503831888046e-07,4.6593154419947333e-07,4.350421481800852e-07,5.6821735773723016e-08,5.629882360130224e-07,2.728986099609816e-07,4
2014-03-28,0.9999943100046078,1.7037904465183054e-06,3.376086232651827e-07,5.57914048397811e-07,6.501223195137324e-07,4.0988368795442476e-07,4.89949755487162e-07,4.4735219972664254e-07,7.09772171217886e-08,7.029957899635294e-07,3.194013042527287e-07,4
2014-04-04,0.9999942794636871,1.689259884892984e-06,3.499176697872463e-07,5.572047648134041e-07,6.565902229235246e-07,4.219857791436546e-07,4.894062138537915e-07,4.547898804504258e-07,7.225458367013287e-08,7.021714517214515e-07,3.269558616901735e-07,4
2014-04-11,0.9999942697868202,1.6875551162858975e-06,3.5151950914628215e-07,5.562001797275914e-07,6.621982939555757e-07,4.2571746690833526e-07,4.93869469560658e-07,4.579298527255719e-07,7.20948733821375e-08,6.943374922928249e-07,3.287909259772566e-07,4
2014-04-18,0.9999941863947709,1.6908000493140388e-06,3.598305538646661e-07,5.569994034671256e-07,6.685796221390654e-07,4.410934231403528e-07,4.99344758491752e-07,4.7216699794185546e-07,7.479868735554335e-08,7.066715704362125e-07,3.4332016313471666e-07,4
2014-04-25,0.9999929394805803,3.2350906762863363e-06,3.4351997956777203e-07,5.154228798812766e-07,7.441668367960924e-07,4.075875814642832e-07,4.118212747249305e-07,4.0671786828713557e-07,1.07296504174265e-07,6.78006036354504e-07,2.1088978223498595e-07,4
2014-05-02,0.9999930315942771,3.1928388851686935e-06,3.418877964250898e-07,5.102749197617132e-07,7.347600138281854e-07,3.901032120716934e-07,4.0517386006611907e-07,4.048308246506607e-07,1.066876083742254e-07,6.690769190847024e-07,2.1277168353492215e-07,4
2014-05-09,0.9999930029539178,3.2098921660712504e-06,3.4129964518417466e-07,5.098913473332606e-07,7.343578717533067e-07,3.976518656338836e-07,4.0564290834930716e-07,4.091514065238081e-07,1.0678792267552501e-07,6.740524166942264e-07,2.0831853223240093e-07,4
2014-05-16,0.9999930164088272,3.1865909769452752e-06,3.4095956393032223e-07,5.083635069585808e-07,7.352367575038905e-07,4.078591941315648e-07,4.0572821831157457e-07,4.148918828200129e-07,1.0766787979164841e-07,6.691080198789757e-07,2.071851723566765e-07,4
2014-05-23,0.9999863223165486,8.998585148652484e-06,4.257399101845847e-07,5.924131004852738e-07,9.82369447362038e-07,3.977671727246559e-07,5.24480285402002e-07,4.86081679125989e-07,1.0736254707038738e-07,9.381035784350645e-07,2.2478058192837238e-07,4
2014-05-30,0.9999863167309961,9.034690261133752e-06,4.2323329108646193e-07,5.908767407282495e-07,9.770644924363946e-07,3.8708548802005244e-07,5.234497625485588e-07,4.7627739826279865e-07,1.0575485925282671e-07,9.45192604985241e-07,2.196441054662874e-07,4
2014-06-06,0.9999863600785817,8.99791796363961e-06,4.2230390280712016e-07,5.901374992853037e-07,9.744920937382614e-07,3.8436626297557135e-07,5.21652706126965e-07,4.74815336444488e-07,1.0641934273430193e-07,9.459714236521239e-07,2.2184488695703068e-07,4
2014-06-13,0.999986228563984,9.097084159669022e-06,4.253419472213345e-07,6.00235852663283e-07,9.888366150387182e-07,3.770340942877554e-07,5.255881124496535e-07,4.779655038639511e-07,1.060895447500191e-07,9.513230505213096e-07,2.2193713549398294e-07,4
2014-06-20,0.9996496424634834,0.0003410103920269327,7.01218122463253e-07,1.0474884724181186e-06,1.824253581372956e-06,4.7348546121759206e-07,8.351160659070901e-07,5.864604351036226e-07,1.5178884909224662e-07,3.3944606927368767e-06,3.328728091242129e-07,4
2014-06-27,0.9996536641381368,0.00033707541379632836,7.052041893378738e-07,1.0398358406567016e-06,1.8092184505454894e-06,4.6769741843033905e-07,8.314754686483425e-07,5.82253006229968e-07,1.5136079252692473e-07,3.337555251448812e-06,3.358476491671447e-07,4
2014-07-04,0.999652077408154,0.000338722378875996,6.945073544411813e-07,1.0305269754179668e-06,1.777842646940546e-06,4.6420185560639474e-07,8.23809385825879e-07,5.807006353224676e-07,1.4863585084401112e-07,3.3423008337438086e-06,3.376874317144852e-07,4
2014-07-11,0.9996527152542156,0.0003381719981032996,6.82996314531567e-07,1.0225456837123312e-06,1.7584823187167608e-06,4.593110114567461e-07,8.19523045581628e-07,5.67249225611347e-07,1.4710486842184066e-07,3.3345902950989723e-06,3.209449180842683e-07,4
2014-07-18,0.9999941495505011,1.5891564114890679e-06,3.7890071752763783e-07,6.724938528694836e-07,7.273006917300008e-07,3.881217252742596e-07,4.284633212572181e-07,4.062738956524378e-07,6.95027896512851e-08,8.95671954010213e-07,2.945641394112626e-07,4
2014-07-25,0.9999940988867516,1.5943190231644e-06,3.826175423390611e-07,6.798868550099702e-07,7.320759273810231e-07,3.9299672334541666e-07,4.31814101812264e-07,4.1245771772207484e-07,6.960784731433956e-08,9.107549567858486e-07,2.9458255355752887e-07,4
2014-08-01,0.9999941591476181,1.5682546115156538e-06,3.829372098946287e-07,6.747747654469695e-07,7.204433827634244e-07,3.8976221832579515e-07,4.303312573597991e-07,4.0658326285942404e-07,6.858082209076245e-08,9.093320741802189e-07,2.898527772238379e-07,4
2014-08-08,0.9999942147225396,1.5640291133769157e-06,3.7278911322831636e-07,6.651928791107753e-07,7.050087925525711e-07,3.9117962691860517e-07,4.244435559363516e-07,4.063641414451942e-07,6.759066683238806e-08,9.014283667322287e-07,2.8725120432180874e-07,4
2014-08-15,0.9999968525194994,3.279906815080322e-07,3.3071773776606966e-07,4.599151968485323e-07,5.248608942405562e-07,1.8509170346107413e-07,3.7725077089692034e-07,3.187984974767569e-07,2.6576389948023515e-08,4.5552286941191294e-07,1.4075575887941355e-07,4
