,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU,gamma_op
2017-04-28,0.34177048036453805,2.781802407325904e-06,2.0201419855716554e-07,0.6582169319220795,1.8316360433727714e-07,1.1199420987347457e-07,1.3958417145330194e-07,1.4745759072244903e-07,1.0225156462563651e-07,1.4675360621240004e-07,2.3230410097001544e-07,2.969290486927773e-07,2.952993780466586e-07,1.036397961809585e-06,2.172927845658403e-07,2.530723178168262e-07,7.430143309554715e-07,1.4461267065541214e-07,1.414415899711054e-07,4.788654320395932e-06,1.7649998660043717e-07,2.2224315178692548e-07,1.2265088236952225e-07,1.0227950458188363e-07,2
2017-05-05,0.3460035816291692,2.7951232691236106e-06,2.00298470402505e-07,0.6539838347926652,1.806357801544889e-07,1.105784443594004e-07,1.4062065632733418e-07,1.4938696076443953e-07,9.994483195518908e-08,1.485602228881191e-07,2.3295568060079866e-07,2.9867521360809297e-07,3.008168028273516e-07,1.031270018164011e-06,2.1766547218093913e-07,2.5191898870586964e-07,7.505558384894244e-07,1.4594992759213745e-07,1.3650855144465906e-07,4.773987472451831e-06,1.771722802355114e-07,2.2092031349833123e-07,1.1921791709169327e-07,1.0081505278676369e-07,2
2017-05-12,0.34291320482304916,2.83466547277561e-06,2.0105566030050943e-07,0.6570741062008361,1.7902456624404628e-07,1.1032440288831251e-07,1.4123660660787236e-07,1.5064488815970777e-07,9.936018213059127e-08,1.5169405218494926e-07,2.34241225654977e-07,3.0193363365691884e-07,3.032989436454865e-07,1.025665975715303e-06,2.178139861820509e-07,2.464430435996353e-07,7.572200149717903e-07,1.4631843533725405e-07,1.363972135954928e-07,4.828720746327577e-06,1.8135754564607593e-07,2.2333943010113384e-07,1.174731319773718e-07,1.007469570357959e-07,2
2017-05-19,0.4010623290437554,0.0020204247908734083,0.00018850870094283068,0.5921959167261093,0.00024378469188476295,8.733099827674267e-05,0.00011154533489146417,0.00012049545377074329,8.114642252091044e-05,0.00012547901236097765,0.0002465188667089072,0.00025929800415835794,0.0002685493301962706,0.00030745015886936224,0.0002045631630720541,0.0002017752039766471,0.00034054260653055765,0.00012622371039846755,0.00010084103715521733,0.0011217487579001668,0.00020407977164791502,0.0002173239890955482,9.484570986229739e-05,6.92785150419121e-05,2
2017-05-26,0.3967505563619965,0.002011138120863542,0.0001888471553689031,0.5964591315574862,0.00024822122761803626,8.952076961632839e-05,0.00011231308276883773,0.00012189010648935329,8.258110612661012e-05,0.00012832356305622465,0.000250500336638484,0.00026306829873333677,0.00027126868565196263,0.00030650871630363683,0.00020649168987375252,0.0002022283083361088,0.00034164643019891347,0.0001272186048505369,0.00010344084046072048,0.0011501815397069292,0.00020178903284209942,0.0002170527662042841,9.552704530848612e-05,7.055465350010684e-05,2
2017-06-02,0.3956017876031404,0.001995832406121106,0.0001885004362563353,0.597610319210859,0.0002389998034994449,9.099814011211292e-05,0.00011140246859366462,0.00012286661954709723,8.256627325702148e-05,0.00012950603847237808,0.00024936956126873,0.00026493221133711085,0.0002757743942196426,0.0003056932343634993,0.00020567549918261113,0.00020494857682119732,0.0003407440528125645,0.00012604905120240883,0.00010265160315782996,0.0011620574063100637,0.00020074787207945065,0.0002231943451232923,9.397940177030934e-05,7.14037904926044e-05,2
2017-06-09,0.40364096020226437,0.0019301434294351043,0.0001905919629011194,0.5896379091207848,0.00023021575851315054,9.055867410597174e-05,0.00011217839516417906,0.00012369971182922605,8.27290203927745e-05,0.00013104987631882214,0.0002489331529588254,0.00026461011767122175,0.00027539841429052164,0.0003060012074607169,0.0002059701757093089,0.00020491900008625936,0.00033954149754350494,0.00012682976831422234,0.00010216134057565738,0.0011654872519873505,0.00020055487833564573,0.00022307502066238913,9.486437309900761e-05,7.161764959597527e-05,2
2017-06-16,0.4911246973502977,0.003908054231522422,0.0009675159091681788,0.4810813743876332,0.001184654686218681,0.00043628975086109706,0.0005532679695667924,0.000595695521930424,0.0004047309472517553,0.0006190678093084791,0.0012543555424508672,0.001269576220795287,0.00137414698459863,0.0015118017936239735,0.0010338976827934372,0.0010469779190325251,0.0016629857015232731,0.0006358744929364655,0.0004799399657386105,0.0058118806581442545,0.0011225963487963531,0.0011087006372631873,0.000465352162059817,0.0003465653264845926,2
2017-06-23,0.4880108991605855,0.0038748925086160677,0.0009802038038843523,0.48435723071916437,0.0011867588370461644,0.0004385858747268489,0.0005212944756139314,0.0005981693281003308,0.00040974611198458497,0.000617615133351711,0.0012729047582587005,0.0012864075374417036,0.0013691526353253145,0.001502865855010607,0.0010220394963059635,0.0010537764535098585,0.0016556563786785398,0.0006386124701062704,0.0004863540369399333,0.005694175224356479,0.0010899063121061804,0.001115368764197862,0.0004654698331379181,0.0003519142915507876,2
2017-06-30,0.49113770665110384,0.00382020888611602,0.0009723985571785207,0.4811120365545871,0.0011597874301246202,0.00043871665728831624,0.0005137570712203884,0.0006151817834634421,0.0004122645631273694,0.0006239927609070709,0.001264270470907071,0.0012642027066934781,0.0014122550423641834,0.0015280316203698755,0.0010267797538696872,0.0010389851642954432,0.0016556274013781824,0.0006727526163081684,0.0004898576870369429,0.005795481382879648,0.0011224307709711617,0.0011200650198870596,0.000455591204441779,0.00034761824348056064,2
2017-07-07,0.4908261756493429,0.003944348423828142,0.0009558861142591937,0.48196202986221653,0.001149229699393956,0.0004248337398396114,0.0005156373847562277,0.0006009175751473072,0.00039565209399408034,0.000604011258943453,0.0012413696704656504,0.001258674279405333,0.0013481977784586673,0.0015539673786818867,0.0010129316706884127,0.0010284956774352994,0.00162169907617916,0.0006477387904188232,0.0004767093117714948,0.005453766493404489,0.0010838968907131003,0.0011162875465513154,0.00044329268524771954,0.00033425094885728313,2
