,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU,gamma_op
2018-12-21,0.06836813784638864,0.11209418837447296,0.05258972636785653,0.23147093745096428,0.14421210939937312,0.030595861807757876,0.10670872904735947,0.0279548835393851,0.026440238091488776,0.18007742752796663,0.019487760546986633,4
2018-12-28,0.09797638412478839,0.23719216850577546,0.037379193479271114,0.1098251648012491,0.17813614945732376,0.025740508299764528,0.0850339881417487,0.023289423212663495,0.027383328753124065,0.16370582906488157,0.0143378621594097,4
2019-01-04,0.0978690247832026,0.24035836984797498,0.03686557087851738,0.10993114903160274,0.176937677562786,0.025818802778521947,0.0848340467320894,0.02254965215435325,0.026754019198686786,0.16447394901504578,0.013607738017219083,4
2019-01-11,0.09654725125768865,0.24291761940051268,0.03799936649515611,0.1106912576564747,0.17721648165822387,0.026327859567906172,0.08507659656068385,0.022002168471053737,0.02656851555549939,0.16133538592937754,0.01331749744742304,4
2019-01-18,0.09590776833933959,0.2446456958479032,0.03816515274126189,0.10852601555913116,0.17903241643095727,0.026126533588240658,0.08442427241439915,0.022257028286479463,0.025940981021080056,0.1619554813979083,0.013018654373299429,4
2019-01-25,0.058657628678931935,0.14697057980809966,0.04003267126448062,0.2760687910579699,0.15404401687563174,0.021931189635300663,0.050511617261989133,0.014562526179660196,0.013658105580103067,0.21500617274354633,0.008556700914286716,4
2019-02-01,0.05795025741870244,0.1469538092938984,0.03942729849430282,0.2759751050931419,0.15361746160804107,0.021777841824949913,0.05027331201319707,0.014760555164159956,0.013462414891026819,0.2172182185830554,0.008583725615524267,4
2019-02-08,0.05845117732843685,0.14516718330514913,0.040128344697432816,0.2737735961458503,0.15564889815442662,0.022024666894222146,0.050347374611027534,0.015003180259874016,0.013692424169331065,0.21709034343641256,0.008672810997836969,4
2019-02-15,0.05789518500950114,0.14468963356921075,0.038810561321564206,0.27029174529610756,0.15782609764052807,0.021944957980577655,0.04952469979817554,0.015217606625708658,0.013830710719164325,0.2211340002301003,0.008834801809361815,4
2019-02-22,0.060975974153795603,0.10184800101362514,0.038278422475012654,0.30406211766566676,0.21420632572783946,0.02008279543249794,0.07339698511633388,0.010952600261443499,0.010776029603177292,0.15879458679705089,0.006626161753556958,4
2019-03-01,0.060337018760912665,0.10200516983286864,0.037790166989963986,0.30259085148455034,0.21426818084235294,0.020056784122316013,0.0746217109431158,0.010872646681408677,0.010741783084100414,0.1599781078652922,0.006737579393118495,4
2019-03-08,0.06036576338533027,0.10180137629738437,0.03804146658080734,0.3037513097926106,0.21366703902338086,0.02011262934328466,0.07332774795697966,0.01066865181718642,0.010669867070426045,0.1608784437704888,0.006715704962120985,4
2019-03-15,0.05952819137246836,0.10176998122694246,0.03750442787610798,0.3029915921708554,0.21281826322028535,0.02061087668801969,0.07451996305856284,0.010972012248767477,0.010877416201917,0.16145880674519447,0.0069484691908790475,4
2019-03-22,0.09019824488449837,0.10814341816365636,0.03955563380957176,0.2721208927871489,0.18386261378796592,0.021881465725273247,0.06241133077370975,0.011851730649079559,0.012449322251676179,0.18997972540104163,0.007545621766378338,4
2019-03-29,0.09046581522398459,0.1109984539624194,0.04026692428265686,0.2632326511026221,0.18399392578402185,0.02225099164568113,0.0623113549610152,0.012149846824490336,0.012764339175140419,0.19384988128287425,0.007715815755093863,4
2019-04-05,0.0900492677580493,0.11136047441699273,0.0399938833151216,0.2630989833003625,0.1861891155643136,0.021777865140181325,0.06260149812383957,0.012110129404041015,0.012760017401573398,0.19250441302931323,0.007554352546211928,4
2019-04-12,0.08790686541605405,0.11186184970287971,0.0398426473390374,0.26492951831032635,0.1863970059494833,0.02182237032795039,0.06338914511709204,0.011901810374830698,0.01229475323719327,0.19231526419273917,0.007338770032413645,4
2019-04-19,0.09155703879904854,0.10060468212232995,0.04258191683112987,0.2655093352853554,0.20055481565480865,0.02319465387766373,0.06587794455883814,0.012058463236903766,0.012688062445987996,0.1776452970157829,0.007727790172151194,4
2019-04-26,0.08730070631614821,0.10122010887237233,0.04222493491053284,0.266368064493682,0.20269362630099144,0.023293025043855,0.06538801953124371,0.011663593225337252,0.012792599534193257,0.1794640452797752,0.007591276491868745,4
2019-05-03,0.08987832286139394,0.10175460172189407,0.04134241225725353,0.26805421416707087,0.199317101602668,0.023709895211310342,0.0641047834793628,0.011730080360556727,0.012705232361157249,0.1797662303616194,0.007637125615713141,4
2019-05-10,0.0905201321472729,0.10100767844416596,0.039721335210373875,0.27011991998478435,0.20055082777296823,0.023175785706583452,0.0634241258257752,0.011785747865625454,0.01272531334402594,0.17933840997239162,0.007630723726033071,4
2019-05-17,0.08680400934296291,0.10358830409525488,0.03891327614218781,0.2702570687040275,0.19114428792420382,0.023058095052351624,0.06365471176435156,0.01146403149955734,0.011884367590058939,0.19194823464443161,0.007283613240612011,4
2019-05-24,0.08754584992181418,0.10371981958513966,0.03926538612373326,0.2684008374963093,0.1899952409441243,0.02344420516498577,0.06376880659598977,0.011774192381034446,0.012161713356867611,0.1924346495592003,0.007489298870801247,4
2019-05-31,0.08968900288639092,0.10284356936568806,0.038250531365382034,0.2712658771297719,0.18968784396306013,0.023398680836206134,0.0633854129118212,0.011938204093478122,0.012257025918317788,0.18958000705843095,0.007703844471452712,4
2019-06-07,0.08969387781148085,0.10309154232143908,0.037517467354712494,0.2698503796270446,0.1899868251073219,0.023303223593699622,0.06373521091131636,0.012100371949159786,0.01213903283354993,0.19087282074611162,0.007709247744163686,4
2019-06-14,0.08036991301712625,0.10665694157064261,0.04305198631155652,0.21976960950455077,0.2118184390636617,0.023859790897224342,0.08274197350626032,0.012680917413439227,0.014246103733283097,0.19628999030332037,0.008514334678934782,4
2019-06-21,0.08028747221827079,0.10877249562877196,0.04255708146213449,0.22004573454255,0.2104727957274956,0.024095394049176655,0.08295731732163125,0.012732699645019344,0.014304114640882111,0.19519249642579728,0.008582398338270607,4
2019-06-28,0.08117642772566362,0.10797475170891827,0.04396685164997226,0.21654965418408173,0.2115052679433846,0.024261673118210755,0.08176311832338076,0.012588484932177289,0.01404335701682014,0.19765668744343035,0.008513725953960275,4
2019-07-05,0.0800183687390508,0.1073027913612689,0.043912442811151906,0.21882476182330965,0.2120769909880502,0.02395889202855759,0.08283642777580752,0.01222883697965848,0.013852128076753215,0.19668730547046553,0.008301053945926269,4
2019-07-12,0.07853745179775769,0.10213986456395004,0.045019815551928404,0.20929370212479312,0.201677021658422,0.024200375250050657,0.0807739977991389,0.011707646174585626,0.013012887157876851,0.22580968601760332,0.007827551903893587,4
2019-07-19,0.0768931697695737,0.10336079286311158,0.04559251203785016,0.20858004664104673,0.20215678043075874,0.024361584438795745,0.07939264839887565,0.011588426814156854,0.01302568428593065,0.22729143076735456,0.007756923552545557,4
2019-07-26,0.0771530196441226,0.1028860265544758,0.044734751814221686,0.20806363708239353,0.20213960499916234,0.023883973117637184,0.08041200350806721,0.011447786840073538,0.013212548138619643,0.22826364293497015,0.007803005366256418,4
2019-08-02,0.07618657302592192,0.10207316978610724,0.04367822174179389,0.2099834250500324,0.20158511509423768,0.024523878808465207,0.07996777388268231,0.011347151617634313,0.013060054302660561,0.22996893882679162,0.007625697863672747,4
2019-08-09,0.07115102446911609,0.12406866470238567,0.047521767933963475,0.1862632913631552,0.19051093738443844,0.030018617253050835,0.07861069208819321,0.01445591088205403,0.01640392516359622,0.2308482759901757,0.01014689276987106,4
2019-08-16,0.07184975876432625,0.12480683593174757,0.04665600672337647,0.18459496707022638,0.19036278759547196,0.029981112976016754,0.07946433643204524,0.014792360073601421,0.016503182839436907,0.23068631614664395,0.010302335447107179,4
2019-08-23,0.07207670426427139,0.1240156325982334,0.04571834227846622,0.1832730531088589,0.19009252146859298,0.030097456142271033,0.07894984842459474,0.015051411317013737,0.01698943311861809,0.23319996073557098,0.010535636543508595,4
2019-08-30,0.07176483478760655,0.12604385621612052,0.04551160359059687,0.18262098398332713,0.18974883308766138,0.02997831957762743,0.07785795651242193,0.015219989255883635,0.017068952159393573,0.2334783592576784,0.010706311571682493,4
2019-09-06,0.06936633851604379,0.11589172050049434,0.049646107045702006,0.19368061928596247,0.1974542408463326,0.0307174324731797,0.08237681121305607,0.014400574890175225,0.0163239072798656,0.2199733387633967,0.01016890918579147,4
2019-09-13,0.06848570314988994,0.11671144180837784,0.05006280760194852,0.19351776488208702,0.19724344992373943,0.030720221036837518,0.08162722944147435,0.01433191142222382,0.016225164178056476,0.22105839400862348,0.010015912546741584,4
2019-09-20,0.06736660650871314,0.11542790760149892,0.05089904788487884,0.19737487856350658,0.1995819494234975,0.030563474362741972,0.08311190353795096,0.013729941604370816,0.015811237189177364,0.21629377934744165,0.009839273976222288,4
2019-09-27,0.06863752435976368,0.11395226003029525,0.051811630930989394,0.19722789177981748,0.19819986566585468,0.030528068062883936,0.08294229960173154,0.014121292009310577,0.01584579801390813,0.2165992081528156,0.010134161392629785,4
2019-10-04,0.07136949587034522,0.11607942025982834,0.05763324819284265,0.19781115440586194,0.19216441855237254,0.03225353948623873,0.08262613865247395,0.014817965460843324,0.01678237445919785,0.20795645365245002,0.01050579100754541,4
2019-10-11,0.07274637071810917,0.11696855739568611,0.05596922887141732,0.19560932617241542,0.18947907238419084,0.0326529894720682,0.0815719757864781,0.015010719570280854,0.01703599864437841,0.2123255678471701,0.010630193137805484,4
2019-10-18,0.07185657288043411,0.11711018019145263,0.05598083674897922,0.195051336267717,0.19052913804155708,0.0326462726958586,0.08217721671125398,0.014792984576091744,0.016723062959486713,0.21274484984137465,0.01038754908579417,4
2019-10-25,0.07295639077795092,0.1181000817553032,0.054698949622363977,0.19714336482542955,0.19034453425072007,0.03290287595526836,0.08192236390031105,0.01496252434904034,0.016626305854935,0.2100258547177046,0.010316753990972939,4
2019-11-01,0.057550318920789045,0.09466242480148739,0.05718003591433318,0.25147530723636513,0.1974961933870158,0.027262041285628168,0.07473644658189801,0.010832267423454112,0.012734834811774814,0.20835832431389242,0.007711805323361937,4
2019-11-08,0.05837331623067448,0.09355817801063203,0.056179012631288945,0.2514103798150549,0.19838777648646325,0.02722802799104293,0.07452109232383743,0.010653421953722758,0.012561863026383176,0.20953607302622662,0.007590858504673662,4
2019-11-15,0.057600835080783314,0.09204310689892475,0.05658926194052057,0.2535044819956637,0.19883893219033494,0.027097708715709146,0.07491756033166645,0.010124913758643047,0.01229639782124126,0.20979390586325344,0.0071928954032593586,4
2019-11-22,0.05874445595471009,0.09147363354978941,0.05564684685410174,0.25167113997199453,0.19909867453664504,0.027336903209817114,0.07455140233388236,0.010259171838325492,0.012352372619725433,0.21158934973829435,0.007276049392714414,4
2019-11-29,0.06146542073296191,0.09468799839937743,0.05927246996976004,0.15214802870630476,0.15001010585366703,0.03121300423869936,0.07993907096276959,0.01248703248956208,0.015163149492235364,0.334685543921104,0.008928175233558364,4
