,.dMIEF00000G,.dMIEA00000G,US10YT=RR,.DXY
2001-01-19,0.049105,0.015483,0.051702,0.011887
2001-01-26,0.002167,0.003548,0.052658,0.007229
2001-01-26,0.002167,0.003547,0.052658,0.007229
2001-02-02,0.010993,-0.008073,0.051585,-0.010228
2001-02-02,0.010993,-0.008072,0.051585,-0.010228
2001-02-09,-0.020448,-0.01741,0.050321,0.010877
2001-02-09,-0.020447,-0.017407,0.050321,0.010877
2001-02-16,0.002195,-0.013482,0.051108,0.006636
2001-02-16,0.002195,-0.013479,0.051108,0.006636
2001-02-23,-0.041873,-0.026122,0.051007,-0.002049
2001-03-02,-0.019034,-0.01054,0.049455,-0.007677
2001-03-02,-0.019034,-0.010544,0.049455,-0.007677
2001-03-09,0.010105,0.014319,0.049392,0.002429
2001-03-16,-0.041484,-0.049345,0.047679,0.034817
2001-03-16,-0.041485,-0.049343,0.047679,0.034817
2001-03-23,-0.022872,-0.008415,0.04813,0.005376
2001-03-23,-0.022872,-0.008414,0.04813,0.005376
2001-03-30,-0.009593,0.033069,0.049146,0.012334
2001-03-30,-0.009593,0.033067,0.049146,0.012334
2001-04-06,-0.023418,-0.000197,0.048903,-0.022323
2001-04-06,-0.023418,-0.000196,0.048903,-0.022323
2001-04-13,0.024552,0.02097,0.051772,0.006885
2001-04-20,0.02491,0.017954,0.052938,-0.010559
2001-04-20,0.02491,0.017955,0.052938,-0.010559
2001-04-27,0.011596,0.015405,0.053236,0.011372
2001-04-27,0.011596,0.015406,0.053236,0.011372
2001-05-04,0.014211,0.004186,0.052091,-0.005968
2001-05-04,0.014212,0.004184,0.052091,-0.005968
2001-05-11,-0.002661,0.000886,0.054431,0.016619
2001-05-11,-0.002661,0.000885,0.054431,0.016619
2001-05-18,0.017679,0.004446,0.054012,-0.00368
2001-05-25,0.013363,-0.00277,0.055023,0.015205
2001-05-25,0.013363,-0.002771,0.055023,0.015205
2001-06-01,-0.011261,-0.022106,0.053748,0.006008
2001-06-01,-0.011261,-0.022105,0.053748,0.006008
2001-06-08,0.013727,0.011518,0.05367,0.002692
2001-06-08,0.013727,0.011517,0.05367,0.002692
2001-06-15,-0.018253,-0.039785,0.052427,-0.007717
2001-06-15,-0.018253,-0.039786,0.052427,-0.007717
2001-06-22,-0.011592,3.6e-05,0.051236,0.005241
2001-06-22,-0.011591,3.6e-05,0.051236,0.005241
2001-06-29,0.000728,0.003445,0.054044,0.004373
2001-07-06,-0.021475,-0.032507,0.053618,0.003935
2001-07-06,-0.021476,-0.032508,0.053618,0.003935
2001-07-13,-0.020391,0.000242,0.052279,-0.004754
2001-07-20,-0.020545,-0.022436,0.051273,-0.017766
2001-07-20,-0.020545,-0.022434,0.051273,-0.017766
2001-07-27,0.006371,-0.000271,0.050961,-0.002304
2001-07-27,0.006372,-0.000273,0.050961,-0.002304
2001-08-03,0.021778,0.020256,0.051643,-0.006841
2001-08-03,0.021778,0.020255,0.051643,-0.006841
2001-08-10,-0.017856,-0.030724,0.049845,-0.007319
2001-08-10,-0.017856,-0.030723,0.049845,-0.007319
2001-08-17,-0.002518,-0.011249,0.048407,-0.01995
2001-08-24,-0.003458,0.014097,0.049278,0.003009
2001-08-24,-0.003458,0.014094,0.049278,0.003009
2001-08-31,0.004127,-0.031652,0.0484,0.000794
2001-08-31,0.004127,-0.031655,0.0484,0.000794
2001-09-07,-0.025587,-0.047227,0.04788,0.005555
2001-09-07,-0.025587,-0.047224,0.04788,0.005555
2001-09-14,-0.090497,-0.078278,0.0456,0.004559
2001-09-14,-0.090497,-0.078276,0.0456,0.004559
2001-09-21,-0.051183,-0.06757,0.046905,-0.013354
2001-09-21,-0.051183,-0.067569,0.046905,-0.013354
2001-09-28,0.009961,0.094142,0.045902,0.003892
2001-09-28,0.009961,0.09414,0.045902,0.003892
2001-10-05,0.028778,0.026155,0.045078,-0.005023
2001-10-12,0.034769,0.027166,0.046752,0.008679
2001-10-12,0.034769,0.027165,0.046752,0.008679
2001-10-19,0.004103,-0.018712,0.046195,0.008517
2001-10-26,0.029389,0.039616,0.045211,0.006878
2001-10-26,0.029389,0.039613,0.045211,0.006878
2001-11-02,-0.005746,-0.027329,0.043635,-0.009598
2001-11-02,-0.005746,-0.027328,0.043635,-0.009598
2001-11-09,0.029379,0.024378,0.043106,0.004802
2001-11-09,0.029379,0.024375,0.043106,0.004802
2001-11-16,0.040074,0.019813,0.048482,0.011469
2001-11-16,0.040074,0.019816,0.048482,0.011469
2001-11-23,0.021598,0.007102,0.050113,0.007903
2001-11-30,-0.013217,-0.012856,0.047537,-0.010228
2001-11-30,-0.013217,-0.012857,0.047537,-0.010228
2001-12-07,0.087383,0.021027,0.051646,0.000172
2001-12-07,0.087383,0.021029,0.051646,0.000172
2001-12-14,-0.016778,-0.043122,0.051901,-0.010504
2001-12-14,-0.016778,-0.043121,0.051901,-0.010504
2001-12-21,-0.005148,0.018276,0.05086,0.017837
2001-12-21,-0.005148,0.018277,0.05086,0.017837
2001-12-28,0.031868,0.014643,0.051134,0.002394
2001-12-28,0.031868,0.014641,0.051134,0.002394
2002-01-04,0.05259,0.022164,0.051251,-0.007931
2002-01-04,0.05259,0.022166,0.051251,-0.007931
2002-01-11,-0.014118,-0.026615,0.048718,0.002665
2002-01-11,-0.014118,-0.026613,0.048718,0.002665
2002-01-18,-0.015996,-0.01248,0.048927,0.007459
2002-01-18,-0.015996,-0.012482,0.048927,0.007459
2002-01-25,0.025969,0.005868,0.050695,0.019913
2002-02-01,-0.001729,-0.010258,0.049841,-0.000501
2002-02-01,-0.001729,-0.010259,0.049841,-0.000501
2002-02-08,-0.00409,-0.019915,0.04881,-0.006762
2002-02-15,0.026424,0.017778,0.04863,-0.003194
2002-02-15,0.026424,0.017779,0.04863,-0.003194
2002-02-22,-0.020244,-0.020994,0.048349,-0.001012
2002-03-01,0.027191,0.039761,0.049837,0.007765
2002-03-01,0.027191,0.039762,0.049837,0.007765
2002-03-08,0.030177,0.041603,0.053251,-0.011809
2002-03-15,0.00349,-0.004791,0.053333,-0.006526
2002-03-15,0.00349,-0.004793,0.053333,-0.006526
2002-03-22,0.012596,-0.004443,0.054033,0.007081
2002-03-22,0.012596,-0.004444,0.054033,0.007081
2002-03-29,-0.000811,0.007273,0.05406,0.004828
2002-03-29,-0.000811,0.007274,0.05406,0.004828
2002-04-05,0.005906,-0.011458,0.052066,-0.00784
2002-04-05,0.005906,-0.011457,0.052066,-0.00784
2002-04-12,-0.004368,-0.017369,0.051567,0.000425
2002-04-12,-0.004368,-0.017367,0.051567,0.000425
2002-04-19,0.029688,0.023186,0.052007,-0.012315
2002-04-26,-0.017122,-0.01974,0.050577,-0.010749
2002-04-26,-0.017122,-0.019741,0.050577,-0.010749
2002-05-03,-0.012758,-0.00417,0.050564,-0.012604
2002-05-03,-0.012758,-0.004172,0.050564,-0.012604
2002-05-10,-0.01346,-0.003987,0.051188,0.003169
2002-05-10,-0.01346,-0.003983,0.051188,0.003169
2002-05-17,0.028298,0.019747,0.052559,-0.008337
2002-05-17,0.028298,0.019751,0.052559,-0.008337
2002-05-24,-0.012,-0.008141,0.051461,-0.00177
2002-05-24,-0.012,-0.008142,0.051461,-0.00177
2002-05-31,-0.034242,-0.016788,0.050446,-0.008777
2002-05-31,-0.034242,-0.01679,0.050446,-0.008777
2002-06-07,-0.009461,-0.034989,0.050651,-0.007334
2002-06-07,-0.009461,-0.034987,0.050651,-0.007334
2002-06-14,-0.001207,-0.045933,0.048008,-0.002072
2002-06-14,-0.001207,-0.04593,0.048008,-0.002072
2002-06-21,-0.037192,-0.020779,0.047636,-0.023203
2002-06-21,-0.037192,-0.020778,0.047636,-0.023203
2002-06-28,-0.034573,0.021084,0.048088,-0.019225
2002-06-28,-0.034573,0.021085,0.048088,-0.019225
2002-07-05,0.038112,0.00286,0.04862,0.014702
2002-07-05,0.038112,0.002861,0.04862,0.014702
2002-07-12,-0.004531,-0.062423,0.04574,-0.016532
2002-07-12,-0.004531,-0.062424,0.04574,-0.016532
2002-07-19,-0.024847,-0.045108,0.045184,-0.017282
2002-07-19,-0.024847,-0.045107,0.045184,-0.017282
2002-07-26,-0.073231,-0.043059,0.043865,0.024505
2002-07-26,-0.073231,-0.043055,0.043865,0.024505
2002-08-02,0.001811,0.01357,0.042947,0.000563
2002-08-02,0.001811,0.013568,0.042947,0.000563
2002-08-09,0.005389,0.046458,0.042575,0.014437
2002-08-16,0.020899,-0.002858,0.043269,-0.01377
2002-08-16,0.020899,-0.002854,0.043269,-0.01377
2002-08-23,0.017444,0.022634,0.042379,0.011713
2002-08-23,0.017444,0.022632,0.042379,0.011713
2002-08-30,-0.018146,-0.033964,0.041297,-0.009169
2002-08-30,-0.018146,-0.033963,0.041297,-0.009169
2002-09-06,-0.025111,-0.033377,0.040153,-0.001309
2002-09-06,-0.025111,-0.033379,0.040153,-0.001309
2002-09-13,0.015057,-0.013937,0.039083,0.011419
2002-09-13,0.015057,-0.013938,0.039083,0.011419
2002-09-20,-0.024969,-0.037167,0.037845,-0.004905
2002-09-20,-0.024969,-0.037163,0.037845,-0.004905
2002-09-27,-0.028613,0.008045,0.03663,0.0
2002-09-27,-0.028613,0.008044,0.03663,0.0
2002-10-04,-0.006928,-0.039091,0.036693,0.000651
2002-10-04,-0.006928,-0.039094,0.036693,0.000651
2002-10-11,-0.040976,0.013521,0.038035,-0.003253
2002-10-11,-0.040976,0.013522,0.038035,-0.003253
2002-10-18,0.074618,0.056933,0.041093,0.011841
2002-10-18,0.074618,0.056931,0.041093,0.011841
2002-10-25,0.002724,-0.01836,0.040973,-0.005529
2002-10-25,0.002724,-0.018362,0.040973,-0.005529
2002-11-01,0.001954,-0.000918,0.040052,-0.01705
2002-11-01,0.001954,-0.000921,0.040052,-0.01705
2002-11-08,0.027295,-0.003234,0.038426,-0.014894
2002-11-15,0.000899,0.013282,0.040325,0.005167
2002-11-15,0.000899,0.013283,0.040325,0.005167
2002-11-22,0.012798,0.029355,0.041834,0.010282
2002-11-29,0.006017,0.011892,0.042109,0.002733
2002-11-29,0.006017,0.011891,0.042109,0.002733
2002-12-06,0.002588,-0.037812,0.04089,-0.009867
2002-12-06,0.002588,-0.037811,0.04089,-0.009867
2002-12-13,-0.012979,-0.031808,0.040711,-0.013098
2002-12-13,-0.012979,-0.031813,0.040711,-0.013098
2002-12-20,0.008084,-0.004358,0.039636,-0.005001
2002-12-20,0.008084,-0.004362,0.039636,-0.005001
2002-12-27,-0.015646,-0.01068,0.038106,-0.010149
2002-12-27,-0.015646,-0.010681,0.038106,-0.010149
2003-01-03,0.003601,0.036842,0.040193,0.000586
2003-01-03,0.003601,0.03684,0.040193,0.000586
2003-01-10,0.003542,-0.006066,0.041398,-0.012101
2003-01-10,0.003542,-0.006061,0.041398,-0.012101
2003-01-17,0.0046,-0.018345,0.040174,-0.006717
2003-01-17,0.0046,-0.018347,0.040174,-0.006717
2003-01-24,-0.021778,-0.039007,0.039365,-0.013227
2003-01-24,-0.021778,-0.039006,0.039365,-0.013227
2003-01-31,-0.016592,-0.017248,0.039659,0.006954
2003-01-31,-0.016592,-0.017252,0.039659,0.006954
2003-02-07,-0.017559,-0.014191,0.039319,-0.003403
2003-02-07,-0.017558,-0.014193,0.039319,-0.003403
2003-02-14,-0.011136,0.011582,0.039629,0.00472
2003-02-14,-0.011136,0.011584,0.039629,0.00472
2003-02-21,0.020035,0.004566,0.038925,0.0005
2003-02-21,0.020035,0.004562,0.038925,0.0005
2003-02-28,-0.018948,-0.020183,0.03692,-0.003797
2003-02-28,-0.018948,-0.020189,0.03692,-0.003797
2003-03-07,-0.023372,-0.04593,0.036444,-0.016749
2003-03-07,-0.023372,-0.045934,0.036444,-0.016749
2003-03-14,0.00894,0.023009,0.037008,0.01989
2003-03-14,0.00894,0.023011,0.037008,0.01989
2003-03-21,0.028296,0.064999,0.041076,0.019302
2003-03-21,0.028296,0.064996,0.041076,0.019302
2003-03-28,-0.0216,-0.029244,0.039029,-0.019231
2003-03-28,-0.0216,-0.029246,0.039029,-0.019231
2003-04-04,0.010128,0.018168,0.039555,0.004902
2003-04-04,0.010128,0.018171,0.039555,0.004902
2003-04-11,0.005242,-0.000612,0.039745,-0.002688
2003-04-11,0.005242,-0.000609,0.039745,-0.002688
2003-04-18,0.030274,0.02031,0.039586,-0.008784
2003-04-18,0.030274,0.020315,0.039586,-0.008784
2003-04-25,-0.040146,-0.007387,0.038904,-0.009466
2003-04-25,-0.040146,-0.007383,0.038904,-0.009466
2003-05-02,0.031795,0.023065,0.039267,-0.016267
2003-05-02,0.031795,0.023062,0.039267,-0.016267
2003-05-09,0.0097,0.005864,0.036819,-0.018396
2003-05-09,0.0097,0.005861,0.036819,-0.018396
2003-05-16,0.017621,0.012138,0.03421,-0.009476
2003-05-16,0.017621,0.012144,0.03421,-0.009476
2003-05-23,0.009951,-0.014589,0.033348,-0.010948
2003-05-23,0.009951,-0.014591,0.033348,-0.010948
2003-05-30,0.034625,0.022668,0.033728,0.002364
2003-06-06,0.026719,0.0348,0.03354,0.002252
2003-06-06,0.026719,0.034798,0.03354,0.002252
2003-06-13,0.013225,0.004438,0.031157,-0.013479
2003-06-13,0.013225,0.004439,0.031157,-0.013479
2003-06-20,0.01914,0.017524,0.033673,0.019735
2003-06-20,0.01914,0.017522,0.033673,0.019735
2003-06-27,-0.01363,-0.014111,0.035454,0.011803
2003-06-27,-0.01363,-0.014106,0.035454,0.011803
2003-07-04,0.028657,0.003945,0.036555,-0.006306
2003-07-11,0.009271,0.013541,0.036293,0.013221
2003-07-11,0.009271,0.013539,0.036293,0.013221
2003-07-18,-0.002031,-0.001068,0.040016,0.011065
2003-07-25,0.013654,0.00598,0.041781,-0.019616
2003-07-25,0.013654,0.005982,0.041781,-0.019616
2003-08-01,0.014854,0.005138,0.0439,0.017902
2003-08-01,0.014854,0.00514,0.0439,0.017902
2003-08-08,-0.01236,-0.006767,0.0427,-0.003104
2003-08-08,-0.01236,-0.006768,0.0427,-0.003104
2003-08-15,0.034925,0.034275,0.0453,0.00301
2003-08-15,0.034925,0.03427,0.0453,0.00301
2003-08-22,0.032283,0.021176,0.0448,0.022556
2003-08-22,0.032283,0.021173,0.0448,0.022556
2003-08-29,0.006013,-0.009073,0.0447,-0.007386
2003-08-29,0.006013,-0.009074,0.0447,-0.007386
2003-09-05,0.021967,0.025638,0.0435,-0.010296
2003-09-05,0.021967,0.025636,0.0435,-0.010296
2003-09-12,-0.012347,-0.007867,0.0425,-0.011124
2003-09-12,-0.012347,-0.007865,0.0425,-0.011124
2003-09-19,0.00523,0.013367,0.0416,-0.010936
2003-09-19,0.00523,0.013371,0.0416,-0.010936
2003-09-26,-0.023023,-0.037135,0.04,-0.011479
2003-09-26,-0.023023,-0.037137,0.04,-0.011479
2003-10-03,0.027993,0.028277,0.042002,-0.006818
2003-10-03,0.027993,0.028279,0.042002,-0.006818
2003-10-10,0.044232,0.006896,0.042553,-0.018342
2003-10-10,0.044232,0.006893,0.042553,-0.018342
2003-10-17,0.017217,0.013216,0.043936,0.008413
2003-10-17,0.017217,0.013214,0.043936,0.008413
2003-10-24,-0.023995,-0.031714,0.042513,-0.010944
2003-10-24,-0.023995,-0.031717,0.042513,-0.010944
2003-10-31,0.020246,0.021645,0.042966,0.015885
2003-10-31,0.020246,0.021647,0.042966,0.015885
2003-11-07,0.018478,0.017702,0.044406,0.003127
2003-11-07,0.018478,0.017701,0.044406,0.003127
2003-11-14,-0.001345,-0.007446,0.042229,-0.016986
2003-11-14,-0.001345,-0.007447,0.042229,-0.016986
2003-11-21,-0.032509,-0.025085,0.041616,-0.009186
2003-11-21,-0.032509,-0.025086,0.041616,-0.009186
2003-11-28,0.026033,0.018102,0.043341,-0.004305
2003-11-28,0.026033,0.018099,0.043341,-0.004305
2003-12-05,0.009255,0.01337,0.042342,-0.011861
2003-12-05,0.009255,0.013375,0.042342,-0.011861
2003-12-12,0.015748,-0.005277,0.042418,-0.007292
2003-12-12,0.015748,-0.005282,0.042418,-0.007292
2003-12-19,0.014455,0.009154,0.041356,-0.004294
2003-12-26,0.008696,0.005654,0.041528,-0.005448
2004-01-02,0.034659,0.020775,0.043739,-0.008102
2004-01-02,0.034659,0.020771,0.043739,-0.008102
2004-01-09,0.033708,0.006218,0.040843,-0.020824
2004-01-09,0.033708,0.006219,0.040843,-0.020824
2004-01-16,-0.006408,0.010625,0.040286,0.030784
2004-01-16,-0.006408,0.010623,0.040286,0.030784
2004-01-23,0.017931,0.007419,0.040895,-0.013336
2004-01-23,0.017931,0.007418,0.040895,-0.013336
2004-01-30,-0.022152,-0.017166,0.041339,0.007394
2004-01-30,-0.022152,-0.017165,0.041339,0.007394
2004-02-06,0.003802,-0.001871,0.040811,-0.013532
2004-02-06,0.003802,-0.001873,0.040811,-0.013532
2004-02-13,0.030496,0.008923,0.04053,-0.005348
2004-02-13,0.030496,0.008925,0.04053,-0.005348
2004-02-20,-0.001489,0.015783,0.041057,0.019635
2004-02-27,0.005432,0.00188,0.039716,0.000802
2004-02-27,0.005432,0.001881,0.039716,0.000802
2004-03-05,0.019189,0.021294,0.038549,0.009964
2004-03-05,0.019189,0.021293,0.038549,0.009964
2004-03-12,-0.036396,-0.026234,0.037866,0.01066
2004-03-19,0.013772,-0.003897,0.03773,-0.010772
2004-03-19,0.013772,-0.003896,0.03773,-0.010772
2004-03-26,-0.01981,0.005305,0.03837,0.00828
2004-03-26,-0.01981,0.005307,0.03837,0.00828
2004-04-02,0.036035,0.025201,0.041454,-0.004275
2004-04-02,0.036035,0.025197,0.041454,-0.004275
2004-04-09,0.011802,0.004154,0.041927,0.005762
2004-04-09,0.011802,0.00415,0.041927,0.005762
2004-04-16,-0.01378,0.00159,0.043443,0.010335
2004-04-16,-0.01378,0.001589,0.043443,0.010335
2004-04-23,-8.6e-05,0.012412,0.044676,0.012675
2004-04-23,-8.6e-05,0.012413,0.044676,0.012675
2004-04-30,-0.067509,-0.022938,0.045099,-0.006588
2004-05-07,-0.011136,-0.008394,0.047751,0.007184
2004-05-14,-0.052277,-0.023425,0.047718,0.005816
2004-05-14,-0.052277,-0.023427,0.047718,0.005816
2004-05-21,0.02422,0.007557,0.047598,-0.012765
2004-05-21,0.02422,0.007553,0.047598,-0.012765
2004-05-28,0.024107,0.010561,0.046647,-0.017018
2004-05-28,0.024107,0.01056,0.046647,-0.017018
2004-06-04,-0.02651,0.003747,0.047736,-0.004609
2004-06-11,-0.005266,0.013096,0.048015,0.016603
2004-06-11,-0.005266,0.013095,0.048015,0.016603
2004-06-18,-0.007897,0.000929,0.047176,-0.010332
2004-06-18,-0.007897,0.00093,0.047176,-0.010332
2004-06-25,0.02945,0.006518,0.046519,-0.002245
2004-06-25,0.02945,0.00652,0.046519,-0.002245
2004-07-02,-0.008546,-0.007448,0.044599,-0.010239
2004-07-02,-0.008546,-0.007445,0.044599,-0.010239
2004-07-09,-0.003437,-0.009208,0.044604,-0.006252
2004-07-09,-0.003437,-0.009211,0.044604,-0.006252
2004-07-16,-0.002916,-0.00933,0.043549,-0.003203
2004-07-16,-0.002916,-0.009329,0.043549,-0.003203
2004-07-23,-0.005518,-0.009788,0.044323,0.024329
2004-07-30,0.007103,0.014522,0.044906,0.007842
2004-08-06,-0.006962,-0.023203,0.042273,-0.017786
2004-08-06,-0.006962,-0.023201,0.042273,-0.017786
2004-08-13,0.008398,-0.011673,0.042321,-0.005206
2004-08-13,0.008398,-0.011674,0.042321,-0.005206
2004-08-20,0.024395,0.014386,0.042908,0.002503
2004-08-20,0.024395,0.014384,0.042908,0.002503
2004-08-27,0.018684,0.027405,0.04192,0.018724
2004-08-27,0.018684,0.027403,0.04192,0.018724
2004-09-03,0.006306,0.005248,0.04289,-0.00156
2004-09-03,0.006306,0.005252,0.04289,-0.00156
2004-09-10,0.014778,0.003012,0.04189,-0.013835
2004-09-10,0.014778,0.003015,0.04189,-0.013835
2004-09-17,0.021576,0.007678,0.04112,0.005883
2004-09-24,-0.002528,-0.009321,0.04033,-0.005736
2004-09-24,-0.002528,-0.00932,0.04033,-0.005736
2004-10-01,0.020944,0.017121,0.04189,-0.00871
2004-10-01,0.020944,0.017122,0.04189,-0.00871
2004-10-08,0.022172,0.01015,0.04129,-0.002054
2004-10-08,0.022172,0.010155,0.04129,-0.002054
2004-10-15,-0.03054,-0.017727,0.04063,-0.004117
2004-10-15,-0.03054,-0.017729,0.04063,-0.004117
2004-10-22,-0.004742,-0.002053,0.03978,-0.014008
2004-10-29,0.008211,0.002317,0.04029,-0.01118
2004-10-29,0.008211,0.00232,0.04029,-0.01118
2004-11-05,0.026042,0.02603,0.04177,-0.010599
2004-11-05,0.026042,0.026032,0.04177,-0.010599
2004-11-12,0.012404,0.008447,0.04186,-0.003809
2004-11-12,0.012404,0.008446,0.04186,-0.003809
2004-11-19,0.003618,-0.002138,0.04205,-0.004541
2004-11-19,0.003618,-0.002136,0.04205,-0.004541
2004-11-26,-0.001358,-0.002747,0.04234,-0.018365
2004-11-26,-0.001358,-0.002749,0.04234,-0.018365
2004-12-03,0.012725,0.007392,0.04256,-0.009782
2004-12-03,0.012725,0.007389,0.04256,-0.009782
2004-12-10,-0.020824,-0.010076,0.04155,0.019388
2004-12-17,0.026622,0.00806,0.04203,-0.004724
2004-12-17,0.026622,0.008063,0.04203,-0.004724
2004-12-24,0.010703,0.01875,0.04218,-0.011441
2004-12-24,0.010703,0.018748,0.04218,-0.011441
2004-12-31,0.012626,0.004757,0.04222,-0.004556
2005-01-07,-0.02121,0.005123,0.04275,0.034137
2005-01-07,-0.02121,0.005125,0.04275,0.034137
2005-01-14,0.010398,-0.004427,0.0422,-0.006578
2005-01-14,0.010398,-0.00443,0.0422,-0.006578
2005-01-21,-0.00347,-0.004553,0.04144,0.002408
2005-01-21,-0.00347,-0.004549,0.04144,0.002408
2005-01-28,0.013388,0.006177,0.04146,0.002642
2005-02-04,0.025667,0.019022,0.04083,0.010901
2005-02-04,0.025667,0.019019,0.04083,0.010901
2005-02-11,0.011339,0.015272,0.04092,0.002133
2005-02-11,0.011339,0.015274,0.04092,0.002133
2005-02-18,0.014184,0.002993,0.04264,-0.01277
2005-02-25,0.022516,-0.002514,0.0427,-0.009941
2005-03-04,0.005827,0.012786,0.04315,-0.001452
2005-03-04,0.005827,0.012785,0.04315,-0.001452
2005-03-11,-0.00285,-0.007517,0.04546,-0.013569
